TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  0 , TrainLoss:  0.999400794506073
TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  1 , TrainLoss:  0.9994875192642212
TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  2 , TrainLoss:  0.9954057335853577
TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  3 , TrainLoss:  0.993893027305603
ValidEpoch:  0 , Graph:  ['douban'] , Schedule :  0 , ValidLoss:  1.000853180885315
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  0 , TrainLoss:  0.9966850280761719
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  1 , TrainLoss:  0.9952661991119385
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  2 , TrainLoss:  0.9923881888389587
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  3 , TrainLoss:  0.9781162142753601
ValidEpoch:  0 , Graph:  ['patentcite'] , Schedule :  0 , ValidLoss:  0.9921842217445374
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  0.9976715445518494
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  0.9992970824241638
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  1.001801609992981
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  1.0056052207946777
ValidEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  0.9946420788764954
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.9922116994857788
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.9916178584098816
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.9849575161933899
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  1.0021709203720093
ValidEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.9852725267410278
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  0 , TrainLoss:  0.9992322325706482
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  1 , TrainLoss:  0.9982506036758423
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  2 , TrainLoss:  0.9974873065948486
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  3 , TrainLoss:  0.9981319308280945
ValidEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule :  0 , ValidLoss:  1.0018025636672974
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  0 , TrainLoss:  1.0039829015731812
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  1 , TrainLoss:  1.0066839456558228
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  2 , TrainLoss:  0.9980046153068542
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  3 , TrainLoss:  1.0004154443740845
ValidEpoch:  0 , Graph:  ['subelj_cora'] , Schedule :  0 , ValidLoss:  0.9960789084434509
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  0 , TrainLoss:  0.9810202121734619
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  1 , TrainLoss:  0.9899009466171265
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  2 , TrainLoss:  0.9814098477363586
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  3 , TrainLoss:  0.9822415113449097
ValidEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule :  0 , ValidLoss:  0.9746144413948059
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  0 , TrainLoss:  1.0115914344787598
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  1 , TrainLoss:  1.0102883577346802
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  2 , TrainLoss:  1.0152236223220825
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  3 , TrainLoss:  1.013932466506958
ValidEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule :  0 , ValidLoss:  1.0115172863006592
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  0 , TrainLoss:  0.9864336848258972
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  1 , TrainLoss:  0.9805558323860168
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  2 , TrainLoss:  0.9817650318145752
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  3 , TrainLoss:  0.983320951461792
ValidEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule :  0 , ValidLoss:  0.9876151084899902
