TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  0 , TrainLoss:  0.7113585472106934
TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  1 , TrainLoss:  0.5563796758651733
TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  2 , TrainLoss:  0.7442531585693359
TrainEpoch:  0 , Graph:  ['douban'] , Schedule:  3 , TrainLoss:  0.8996206521987915
ValidEpoch:  0 , Graph:  ['douban'] , Schedule :  0 , ValidLoss:  0.7151966691017151
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  0 , TrainLoss:  0.9548707604408264
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  1 , TrainLoss:  0.922589898109436
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  2 , TrainLoss:  0.9537419676780701
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  3 , TrainLoss:  1.4188612699508667
ValidEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule :  0 , ValidLoss:  1.0458290576934814
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  0.8733271956443787
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  0.7699218988418579
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  0.7956255078315735
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  0.15172624588012695
ValidEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.8135494589805603
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.7116098403930664
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.8154129385948181
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.7759606242179871
TrainEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  1.3821430206298828
ValidEpoch:  0 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.7625849843025208
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  0 , TrainLoss:  0.8082560300827026
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  1 , TrainLoss:  0.8170511722564697
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  2 , TrainLoss:  0.5513848066329956
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  3 , TrainLoss:  0.48770570755004883
ValidEpoch:  0 , Graph:  ['github'] , Schedule :  0 , ValidLoss:  0.7187100052833557
TrainEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule:  0 , TrainLoss:  0.6876862049102783
TrainEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule:  1 , TrainLoss:  0.9425689578056335
TrainEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule:  2 , TrainLoss:  0.6201667785644531
TrainEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.6252418160438538
ValidEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.6790821552276611
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  0 , TrainLoss:  0.8623236417770386
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  1 , TrainLoss:  0.7316611409187317
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  2 , TrainLoss:  0.86531001329422
TrainEpoch:  0 , Graph:  ['subelj_cora'] , Schedule:  3 , TrainLoss:  1.766617774963379
ValidEpoch:  0 , Graph:  ['subelj_cora'] , Schedule :  0 , ValidLoss:  0.8536912202835083
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  0 , TrainLoss:  0.5144292712211609
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  1 , TrainLoss:  0.39046502113342285
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  2 , TrainLoss:  0.3766302168369293
TrainEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule:  3 , TrainLoss:  0.3048422336578369
ValidEpoch:  0 , Graph:  ['dimacs9-E'] , Schedule :  0 , ValidLoss:  0.3909800350666046
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  0.5836560726165771
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  0.6685855984687805
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  0.5243017077445984
TrainEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  1.219325304031372
ValidEpoch:  0 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  0.6125305891036987
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  0 , TrainLoss:  0.7645583152770996
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  1 , TrainLoss:  0.852399468421936
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  2 , TrainLoss:  0.7376243472099304
TrainEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule:  3 , TrainLoss:  1.1885509490966797
ValidEpoch:  0 , Graph:  ['moreno_blogs'] , Schedule :  0 , ValidLoss:  1.037119746208191
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  0 , TrainLoss:  0.6951841711997986
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  1 , TrainLoss:  0.6291194558143616
TrainEpoch:  0 , Graph:  ['patentcite'] , Schedule:  2 , TrainLoss:  0.634141206741333
