TrainBatch:  0 , Graph:  sx-stackoverflow , TrainLoss:  0.9957930445671082 , Accuracy:  0.6391129032258065
TrainBatch:  0 , Graph:  sx-stackoverflow , TrainLoss:  0.9937081933021545 , Accuracy:  0.6471774193548387
TrainBatch:  0 , Graph:  sx-stackoverflow , TrainLoss:  0.9912252426147461 , Accuracy:  0.7310344827586207
ValidBatch:  0 , Graph:  sx-stackoverflow , ValidLoss:  0.9918419122695923 , Accuracy :  0.6995967741935484
ValidBatch:  0 , Graph:  sx-stackoverflow , ValidLoss:  0.9828845262527466 , Accuracy :  0.8306451612903226
ValidBatch:  0 , Graph:  sx-stackoverflow , ValidLoss:  0.9861646890640259 , Accuracy :  0.7609195402298851
TrainBatch:  0 , Graph:  dblp-cite , TrainLoss:  1.01459538936615 , Accuracy:  0.28225806451612906
TrainBatch:  0 , Graph:  dblp-cite , TrainLoss:  1.0113459825515747 , Accuracy:  0.24798387096774194
TrainBatch:  0 , Graph:  dblp-cite , TrainLoss:  1.008491039276123 , Accuracy:  0.3346774193548387
ValidBatch:  0 , Graph:  dblp-cite , ValidLoss:  1.0068418979644775 , Accuracy :  0.3125
ValidBatch:  0 , Graph:  dblp-cite , ValidLoss:  1.0026652812957764 , Accuracy :  0.3971774193548387
ValidBatch:  0 , Graph:  dblp-cite , ValidLoss:  1.0092710256576538 , Accuracy :  0.3084677419354839
TrainBatch:  0 , Graph:  dbpedia-team , TrainLoss:  1.002524495124817 , Accuracy:  0.4435483870967742
TrainBatch:  0 , Graph:  dbpedia-team , TrainLoss:  0.9995551109313965 , Accuracy:  0.5060483870967742
TrainBatch:  0 , Graph:  dbpedia-team , TrainLoss:  1.000983715057373 , Accuracy:  0.5059288537549407
ValidBatch:  0 , Graph:  dbpedia-team , ValidLoss:  1.0028597116470337 , Accuracy :  0.42338709677419356
ValidBatch:  0 , Graph:  dbpedia-team , ValidLoss:  0.9969983696937561 , Accuracy :  0.5866935483870968
ValidBatch:  0 , Graph:  dbpedia-team , ValidLoss:  0.9985441565513611 , Accuracy :  0.525691699604743
TrainBatch:  0 , Graph:  dimacs9-E , TrainLoss:  0.9931732416152954 , Accuracy:  0.6592741935483871
TrainBatch:  0 , Graph:  dimacs9-E , TrainLoss:  0.9875174164772034 , Accuracy:  0.75
TrainBatch:  0 , Graph:  dimacs9-E , TrainLoss:  0.9922002553939819 , Accuracy:  0.6748768472906403
ValidBatch:  0 , Graph:  dimacs9-E , ValidLoss:  0.9885600805282593 , Accuracy :  0.7318548387096774
ValidBatch:  0 , Graph:  dimacs9-E , ValidLoss:  0.9890899658203125 , Accuracy :  0.6310483870967742
ValidBatch:  0 , Graph:  dimacs9-E , ValidLoss:  0.9873565435409546 , Accuracy :  0.7931034482758621
TrainBatch:  0 , Graph:  douban , TrainLoss:  0.9950265884399414 , Accuracy:  0.5967741935483871
TrainBatch:  0 , Graph:  douban , TrainLoss:  1.0015227794647217 , Accuracy:  0.4879032258064516
TrainBatch:  0 , Graph:  douban , TrainLoss:  0.9941895008087158 , Accuracy:  0.6
ValidBatch:  0 , Graph:  douban , ValidLoss:  0.9961255788803101 , Accuracy :  0.5665322580645161
ValidBatch:  0 , Graph:  douban , ValidLoss:  0.9958851933479309 , Accuracy :  0.5725806451612904
ValidBatch:  0 , Graph:  douban , ValidLoss:  0.9962866306304932 , Accuracy :  0.5733333333333334
TrainBatch:  0 , Graph:  facebook-wosn-wall , TrainLoss:  0.9940709471702576 , Accuracy:  0.6028225806451613
TrainBatch:  0 , Graph:  facebook-wosn-wall , TrainLoss:  0.9939192533493042 , Accuracy:  0.5625
TrainBatch:  0 , Graph:  facebook-wosn-wall , TrainLoss:  0.9944471716880798 , Accuracy:  0.6014492753623188
ValidBatch:  0 , Graph:  facebook-wosn-wall , ValidLoss:  1.0000041723251343 , Accuracy :  0.5
ValidBatch:  0 , Graph:  facebook-wosn-wall , ValidLoss:  0.9875271320343018 , Accuracy :  0.6754032258064516
ValidBatch:  0 , Graph:  facebook-wosn-wall , ValidLoss:  0.9909292459487915 , Accuracy :  0.6376811594202898
TrainBatch:  0 , Graph:  github , TrainLoss:  0.9996126890182495 , Accuracy:  0.5604838709677419
TrainBatch:  0 , Graph:  github , TrainLoss:  0.9942564964294434 , Accuracy:  0.5584677419354839
TrainBatch:  0 , Graph:  github , TrainLoss:  0.9991453289985657 , Accuracy:  0.5333333333333333
ValidBatch:  0 , Graph:  github , ValidLoss:  1.0023820400238037 , Accuracy :  0.4899193548387097
ValidBatch:  0 , Graph:  github , ValidLoss:  0.9933946132659912 , Accuracy :  0.5806451612903226
ValidBatch:  0 , Graph:  github , ValidLoss:  0.9884899854660034 , Accuracy :  0.6857142857142857
TrainBatch:  0 , Graph:  komarix-imdb , TrainLoss:  0.983377993106842 , Accuracy:  0.7399193548387096
TrainBatch:  0 , Graph:  komarix-imdb , TrainLoss:  0.9851812124252319 , Accuracy:  0.6955645161290323
TrainBatch:  0 , Graph:  komarix-imdb , TrainLoss:  0.9895037412643433 , Accuracy:  0.6
ValidBatch:  0 , Graph:  komarix-imdb , ValidLoss:  0.9860826134681702 , Accuracy :  0.657258064516129
ValidBatch:  0 , Graph:  komarix-imdb , ValidLoss:  0.9831494688987732 , Accuracy :  0.6995967741935484
ValidBatch:  0 , Graph:  komarix-imdb , ValidLoss:  0.9755366444587708 , Accuracy :  0.819047619047619
TrainBatch:  0 , Graph:  moreno_blogs , TrainLoss:  1.013537049293518 , Accuracy:  0.35080645161290325
TrainBatch:  0 , Graph:  moreno_blogs , TrainLoss:  1.0085808038711548 , Accuracy:  0.43548387096774194
TrainBatch:  0 , Graph:  moreno_blogs , TrainLoss:  1.0136847496032715 , Accuracy:  0.36666666666666664
ValidBatch:  0 , Graph:  moreno_blogs , ValidLoss:  1.0101749897003174 , Accuracy :  0.4274193548387097
ValidBatch:  0 , Graph:  moreno_blogs , ValidLoss:  1.0159804821014404 , Accuracy :  0.34274193548387094
ValidBatch:  0 , Graph:  moreno_blogs , ValidLoss:  1.0090330839157104 , Accuracy :  0.3761904761904762
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  1.0096105337142944 , Accuracy:  0.3911290322580645
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  1.0147888660430908 , Accuracy:  0.3588709677419355
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  1.0199793577194214 , Accuracy:  0.30443548387096775
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  1.0256218910217285 , Accuracy:  0.0
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  1.0143373012542725 , Accuracy :  0.34274193548387094
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  1.0038316249847412 , Accuracy :  0.4435483870967742
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  1.0160574913024902 , Accuracy :  0.3326612903225806
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  1.01227605342865 , Accuracy :  0.3333333333333333
TrainBatch:  0 , Graph:  patentcite , TrainLoss:  0.9806196093559265 , Accuracy:  0.719758064516129
TrainBatch:  0 , Graph:  patentcite , TrainLoss:  0.9821183681488037 , Accuracy:  0.7137096774193549
TrainBatch:  0 , Graph:  patentcite , TrainLoss:  0.9842413067817688 , Accuracy:  0.6646153846153846
ValidBatch:  0 , Graph:  patentcite , ValidLoss:  0.9755259156227112 , Accuracy :  0.7782258064516129
ValidBatch:  0 , Graph:  patentcite , ValidLoss:  0.9829435348510742 , Accuracy :  0.6995967741935484
ValidBatch:  0 , Graph:  patentcite , ValidLoss:  0.9806970953941345 , Accuracy :  0.7076923076923077
TrainBatch:  0 , Graph:  petster-friendships-dog , TrainLoss:  0.995659589767456 , Accuracy:  0.5584677419354839
TrainBatch:  0 , Graph:  petster-friendships-dog , TrainLoss:  0.9845029711723328 , Accuracy:  0.6370967741935484
TrainBatch:  0 , Graph:  petster-friendships-dog , TrainLoss:  0.9881137013435364 , Accuracy:  0.672514619883041
ValidBatch:  0 , Graph:  petster-friendships-dog , ValidLoss:  0.9920588135719299 , Accuracy :  0.5745967741935484
ValidBatch:  0 , Graph:  petster-friendships-dog , ValidLoss:  0.986216127872467 , Accuracy :  0.6350806451612904
ValidBatch:  0 , Graph:  petster-friendships-dog , ValidLoss:  0.9792318344116211 , Accuracy :  0.7076023391812866
TrainBatch:  0 , Graph:  roadNet-CA , TrainLoss:  0.9843352437019348 , Accuracy:  0.6814516129032258
TrainBatch:  0 , Graph:  roadNet-CA , TrainLoss:  0.9816697835922241 , Accuracy:  0.6471774193548387
TrainBatch:  0 , Graph:  roadNet-CA , TrainLoss:  0.9856377840042114 , Accuracy:  0.6553846153846153
