TrainBatch:  0 , Graph:  sx-stackoverflow , TrainLoss:  0.5194239020347595 , Accuracy:  0.7883064516129032
TrainBatch:  0 , Graph:  sx-stackoverflow , TrainLoss:  0.5446443557739258 , Accuracy:  0.7641129032258065
TrainBatch:  0 , Graph:  sx-stackoverflow , TrainLoss:  0.3440633714199066 , Accuracy:  0.8620689655172413
ValidBatch:  0 , Graph:  sx-stackoverflow , ValidLoss:  0.43355441093444824 , Accuracy :  0.8125
ValidBatch:  0 , Graph:  sx-stackoverflow , ValidLoss:  0.40749457478523254 , Accuracy :  0.8346774193548387
ValidBatch:  0 , Graph:  sx-stackoverflow , ValidLoss:  0.388056218624115 , Accuracy :  0.8206896551724138
TrainBatch:  0 , Graph:  dblp-cite , TrainLoss:  0.13883452117443085 , Accuracy:  0.9576612903225806
TrainBatch:  0 , Graph:  dblp-cite , TrainLoss:  0.13578522205352783 , Accuracy:  0.9576612903225806
TrainBatch:  0 , Graph:  dblp-cite , TrainLoss:  0.09494186192750931 , Accuracy:  0.9596774193548387
ValidBatch:  0 , Graph:  dblp-cite , ValidLoss:  0.09485779702663422 , Accuracy :  0.9637096774193549
ValidBatch:  0 , Graph:  dblp-cite , ValidLoss:  0.11213860660791397 , Accuracy :  0.9576612903225806
ValidBatch:  0 , Graph:  dblp-cite , ValidLoss:  0.11758361011743546 , Accuracy :  0.9596774193548387
TrainBatch:  0 , Graph:  dbpedia-team , TrainLoss:  0.12726707756519318 , Accuracy:  0.9395161290322581
TrainBatch:  0 , Graph:  dbpedia-team , TrainLoss:  0.09428740292787552 , Accuracy:  0.969758064516129
TrainBatch:  0 , Graph:  dbpedia-team , TrainLoss:  0.09125722944736481 , Accuracy:  0.9683794466403162
ValidBatch:  0 , Graph:  dbpedia-team , ValidLoss:  0.07312893867492676 , Accuracy :  0.9818548387096774
ValidBatch:  0 , Graph:  dbpedia-team , ValidLoss:  0.07945918291807175 , Accuracy :  0.9818548387096774
ValidBatch:  0 , Graph:  dbpedia-team , ValidLoss:  0.07209138572216034 , Accuracy :  0.9762845849802372
TrainBatch:  0 , Graph:  dimacs9-E , TrainLoss:  0.12904496490955353 , Accuracy:  0.967741935483871
TrainBatch:  0 , Graph:  dimacs9-E , TrainLoss:  0.11037863045930862 , Accuracy:  0.9516129032258065
TrainBatch:  0 , Graph:  dimacs9-E , TrainLoss:  0.07951860129833221 , Accuracy:  0.9729064039408867
ValidBatch:  0 , Graph:  dimacs9-E , ValidLoss:  0.05226452276110649 , Accuracy :  0.9879032258064516
ValidBatch:  0 , Graph:  dimacs9-E , ValidLoss:  0.049639154225587845 , Accuracy :  0.9758064516129032
ValidBatch:  0 , Graph:  dimacs9-E , ValidLoss:  0.09981753677129745 , Accuracy :  0.9729064039408867
TrainBatch:  0 , Graph:  douban , TrainLoss:  0.2689397931098938 , Accuracy:  0.8931451612903226
TrainBatch:  0 , Graph:  douban , TrainLoss:  0.2668566405773163 , Accuracy:  0.8931451612903226
TrainBatch:  0 , Graph:  douban , TrainLoss:  0.2747475802898407 , Accuracy:  0.8733333333333333
ValidBatch:  0 , Graph:  douban , ValidLoss:  0.2397668957710266 , Accuracy :  0.9032258064516129
ValidBatch:  0 , Graph:  douban , ValidLoss:  0.22454537451267242 , Accuracy :  0.9314516129032258
ValidBatch:  0 , Graph:  douban , ValidLoss:  0.2599973976612091 , Accuracy :  0.9066666666666666
TrainBatch:  0 , Graph:  facebook-wosn-wall , TrainLoss:  0.3631713092327118 , Accuracy:  0.8326612903225806
TrainBatch:  0 , Graph:  facebook-wosn-wall , TrainLoss:  0.3958166539669037 , Accuracy:  0.8245967741935484
TrainBatch:  0 , Graph:  facebook-wosn-wall , TrainLoss:  0.6080491542816162 , Accuracy:  0.7608695652173914
ValidBatch:  0 , Graph:  facebook-wosn-wall , ValidLoss:  0.34596681594848633 , Accuracy :  0.8588709677419355
ValidBatch:  0 , Graph:  facebook-wosn-wall , ValidLoss:  0.4889238774776459 , Accuracy :  0.7741935483870968
ValidBatch:  0 , Graph:  facebook-wosn-wall , ValidLoss:  0.4003567695617676 , Accuracy :  0.8442028985507246
TrainBatch:  0 , Graph:  github , TrainLoss:  0.21325160562992096 , Accuracy:  0.9294354838709677
TrainBatch:  0 , Graph:  github , TrainLoss:  0.19481201469898224 , Accuracy:  0.9254032258064516
TrainBatch:  0 , Graph:  github , TrainLoss:  0.23359499871730804 , Accuracy:  0.9095238095238095
ValidBatch:  0 , Graph:  github , ValidLoss:  0.18662267923355103 , Accuracy :  0.9294354838709677
ValidBatch:  0 , Graph:  github , ValidLoss:  0.2001984715461731 , Accuracy :  0.9274193548387096
ValidBatch:  0 , Graph:  github , ValidLoss:  0.21379168331623077 , Accuracy :  0.9238095238095239
TrainBatch:  0 , Graph:  komarix-imdb , TrainLoss:  0.2425047606229782 , Accuracy:  0.905241935483871
TrainBatch:  0 , Graph:  komarix-imdb , TrainLoss:  0.18685053288936615 , Accuracy:  0.9294354838709677
TrainBatch:  0 , Graph:  komarix-imdb , TrainLoss:  0.23064197599887848 , Accuracy:  0.9142857142857143
ValidBatch:  0 , Graph:  komarix-imdb , ValidLoss:  0.19991016387939453 , Accuracy :  0.9294354838709677
ValidBatch:  0 , Graph:  komarix-imdb , ValidLoss:  0.16414031386375427 , Accuracy :  0.9495967741935484
ValidBatch:  0 , Graph:  komarix-imdb , ValidLoss:  0.25916969776153564 , Accuracy :  0.8952380952380953
TrainBatch:  0 , Graph:  moreno_blogs , TrainLoss:  0.2966708540916443 , Accuracy:  0.8790322580645161
TrainBatch:  0 , Graph:  moreno_blogs , TrainLoss:  0.19381515681743622 , Accuracy:  0.9294354838709677
TrainBatch:  0 , Graph:  moreno_blogs , TrainLoss:  0.22869932651519775 , Accuracy:  0.9380952380952381
ValidBatch:  0 , Graph:  moreno_blogs , ValidLoss:  0.22301140427589417 , Accuracy :  0.907258064516129
ValidBatch:  0 , Graph:  moreno_blogs , ValidLoss:  0.16210074722766876 , Accuracy :  0.9495967741935484
ValidBatch:  0 , Graph:  moreno_blogs , ValidLoss:  0.35661107301712036 , Accuracy :  0.8523809523809524
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  0.19891764223575592 , Accuracy:  0.9213709677419355
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  0.3338160812854767 , Accuracy:  0.8790322580645161
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  0.1748567372560501 , Accuracy:  0.9314516129032258
TrainBatch:  0 , Graph:  opsahl-usairport , TrainLoss:  0.0 , Accuracy:  1.0
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  0.29295650124549866 , Accuracy :  0.8810483870967742
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  0.18326589465141296 , Accuracy :  0.9233870967741935
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  0.13670240342617035 , Accuracy :  0.9455645161290323
ValidBatch:  0 , Graph:  opsahl-usairport , ValidLoss:  0.16452154517173767 , Accuracy :  1.0
TrainBatch:  0 , Graph:  patentcite , TrainLoss:  0.2706179916858673 , Accuracy:  0.8911290322580645
TrainBatch:  0 , Graph:  patentcite , TrainLoss:  0.2260705828666687 , Accuracy:  0.9112903225806451
TrainBatch:  0 , Graph:  patentcite , TrainLoss:  0.22949716448783875 , Accuracy:  0.9076923076923077
ValidBatch:  0 , Graph:  patentcite , ValidLoss:  0.24332372844219208 , Accuracy :  0.9012096774193549
ValidBatch:  0 , Graph:  patentcite , ValidLoss:  0.23616690933704376 , Accuracy :  0.9032258064516129
ValidBatch:  0 , Graph:  patentcite , ValidLoss:  0.19780205190181732 , Accuracy :  0.9076923076923077
TrainBatch:  0 , Graph:  petster-friendships-dog , TrainLoss:  0.23530645668506622 , Accuracy:  0.907258064516129
TrainBatch:  0 , Graph:  petster-friendships-dog , TrainLoss:  0.18010927736759186 , Accuracy:  0.9334677419354839
TrainBatch:  0 , Graph:  petster-friendships-dog , TrainLoss:  0.2594985067844391 , Accuracy:  0.8947368421052632
ValidBatch:  0 , Graph:  petster-friendships-dog , ValidLoss:  0.2072053849697113 , Accuracy :  0.907258064516129
ValidBatch:  0 , Graph:  petster-friendships-dog , ValidLoss:  0.17822228372097015 , Accuracy :  0.9334677419354839
ValidBatch:  0 , Graph:  petster-friendships-dog , ValidLoss:  0.14136025309562683 , Accuracy :  0.9590643274853801
TrainBatch:  0 , Graph:  roadNet-CA , TrainLoss:  0.19784486293792725 , Accuracy:  0.9193548387096774
TrainBatch:  0 , Graph:  roadNet-CA , TrainLoss:  0.0988156720995903 , Accuracy:  0.9556451612903226
TrainBatch:  0 , Graph:  roadNet-CA , TrainLoss:  0.1894184947013855 , Accuracy:  0.916923076923077
ValidBatch:  0 , Graph:  roadNet-CA , ValidLoss:  0.1293480545282364 , Accuracy :  0.9516129032258065
ValidBatch:  0 , Graph:  roadNet-CA , ValidLoss:  0.11936286836862564 , Accuracy :  0.969758064516129
ValidBatch:  0 , Graph:  roadNet-CA , ValidLoss:  0.11020134389400482 , Accuracy :  0.9538461538461539
TrainBatch:  0 , Graph:  subelj_cora , TrainLoss:  0.2056119590997696 , Accuracy:  0.9233870967741935
TrainBatch:  0 , Graph:  subelj_cora , TrainLoss:  0.16581986844539642 , Accuracy:  0.9354838709677419
TrainBatch:  0 , Graph:  subelj_cora , TrainLoss:  0.18320989608764648 , Accuracy:  0.9238095238095239
ValidBatch:  0 , Graph:  subelj_cora , ValidLoss:  0.20489077270030975 , Accuracy :  0.9153225806451613
