sx-stackoverflow DensePull, serial, bitvector, false, 0, 1.2012593746185303
dblp-cite DensePull, serial, bitvector, false, 0, 0.5304713249206543
dbpedia-team DensePull, serial, bitvector, false, 0, 0.18817877769470215
dimacs9-E DensePull, serial, bitvector, false, 0, 160.28615307807922
douban DensePull, serial, bitvector, false, 0, 0.4496912956237793
facebook-wosn-wall DensePull, serial, bitvector, false, 0, 0.5076606273651123
github DensePull, serial, bitvector, false, 0, 0.554445743560791
komarix-imdb DensePull, serial, bitvector, false, 0, 0.4288206100463867
moreno_blogs DensePull, serial, bitvector, false, 0, 0.24716711044311523
opsahl-usairport DensePull, serial, bitvector, false, 0, 0.2520761489868164
patentcite DensePull, serial, bitvector, false, 0, 1.4377095699310303
petster-friendships-dog DensePull, serial, bitvector, false, 0, 0.2100386619567871
roadNet-CA DensePull, serial, bitvector, false, 0, 0.3133993148803711
subelj_cora DensePull, serial, bitvector, false, 0, 0.9293856620788574
sx-mathoverflow DensePull, serial, bitvector, false, 0, 0.2486717700958252
youtube-groupmemberships DensePull, serial, bitvector, false, 0, 0.1887812614440918
sx-stackoverflow DensePull, serial, bitvector, false, 2, 1.3971920013427734
dblp-cite DensePull, serial, bitvector, false, 2, 0.5701594352722168
dbpedia-team DensePull, serial, bitvector, false, 2, 0.20346403121948242
dimacs9-E DensePull, serial, bitvector, false, 2, 170.44544577598572
douban DensePull, serial, bitvector, false, 2, 0.45343947410583496
facebook-wosn-wall DensePull, serial, bitvector, false, 2, 0.4142467975616455
github DensePull, serial, bitvector, false, 2, 0.6095786094665527
komarix-imdb DensePull, serial, bitvector, false, 2, 0.3262779712677002
moreno_blogs DensePull, serial, bitvector, false, 2, 0.2748258113861084
opsahl-usairport DensePull, serial, bitvector, false, 2, 0.21466922760009766
patentcite DensePull, serial, bitvector, false, 2, 1.8326332569122314
petster-friendships-dog DensePull, serial, bitvector, false, 2, 0.3069014549255371
roadNet-CA DensePull, serial, bitvector, false, 2, 0.32281494140625
subelj_cora DensePull, serial, bitvector, false, 2, 0.5337755680084229
sx-mathoverflow DensePull, serial, bitvector, false, 2, 0.25646066665649414
youtube-groupmemberships DensePull, serial, bitvector, false, 2, 0.18393373489379883
sx-stackoverflow DensePull, serial, bitvector, false, 4, 1.4766604900360107
dblp-cite DensePull, serial, bitvector, false, 4, 0.5284035205841064
dbpedia-team DensePull, serial, bitvector, false, 4, 0.19148612022399902
dimacs9-E DensePull, serial, bitvector, false, 4, 165.1899778842926
douban DensePull, serial, bitvector, false, 4, 0.4710822105407715
facebook-wosn-wall DensePull, serial, bitvector, false, 4, 0.3965930938720703
github DensePull, serial, bitvector, false, 4, 0.564582347869873
komarix-imdb DensePull, serial, bitvector, false, 4, 0.48453807830810547
moreno_blogs DensePull, serial, bitvector, false, 4, 0.2106494903564453
opsahl-usairport DensePull, serial, bitvector, false, 4, 0.29373836517333984
patentcite DensePull, serial, bitvector, false, 4, 1.8677191734313965
petster-friendships-dog DensePull, serial, bitvector, false, 4, 0.3093087673187256
roadNet-CA DensePull, serial, bitvector, false, 4, 0.33722400665283203
subelj_cora DensePull, serial, bitvector, false, 4, 1.2426695823669434
sx-mathoverflow DensePull, serial, bitvector, false, 4, 0.2534949779510498
youtube-groupmemberships DensePull, serial, bitvector, false, 4, 0.16968369483947754
sx-stackoverflow DensePull, serial, bitvector, false, 6, 1.4852867126464844
dblp-cite DensePull, serial, bitvector, false, 6, 0.5695240497589111
dbpedia-team DensePull, serial, bitvector, false, 6, 0.1981348991394043
dimacs9-E DensePull, serial, bitvector, false, 6, 165.6769151687622
douban DensePull, serial, bitvector, false, 6, 0.4553651809692383
facebook-wosn-wall DensePull, serial, bitvector, false, 6, 0.3925747871398926
github DensePull, serial, bitvector, false, 6, 0.5186195373535156
komarix-imdb DensePull, serial, bitvector, false, 6, 0.5015268325805664
moreno_blogs DensePull, serial, bitvector, false, 6, 0.24054169654846191
opsahl-usairport DensePull, serial, bitvector, false, 6, 0.23566484451293945
patentcite DensePull, serial, bitvector, false, 6, 2.1266300678253174
petster-friendships-dog DensePull, serial, bitvector, false, 6, 0.34868645668029785
roadNet-CA DensePull, serial, bitvector, false, 6, 0.3293633460998535
subelj_cora DensePull, serial, bitvector, false, 6, 1.2980258464813232
sx-mathoverflow DensePull, serial, bitvector, false, 6, 0.24854803085327148
youtube-groupmemberships DensePull, serial, bitvector, false, 6, 0.2131941318511963
sx-stackoverflow DensePull, serial, bitvector, false, 8, 1.7031152248382568
dblp-cite DensePull, serial, bitvector, false, 8, 0.48784542083740234
dbpedia-team DensePull, serial, bitvector, false, 8, 0.2167985439300537
dimacs9-E DensePull, serial, bitvector, false, 8, 160.5101101398468
douban DensePull, serial, bitvector, false, 8, 0.4544332027435303
