sx-stackoverflow SparsePush, serial, boolean-array, false, 0, 15.357996702194214
dblp-cite SparsePush, serial, boolean-array, false, 0, 0.02483654022216797
dbpedia-team SparsePush, serial, boolean-array, false, 0, 0.30989980697631836
dimacs9-E SparsePush, serial, boolean-array, false, 0, 1.9256014823913574
douban SparsePush, serial, boolean-array, false, 0, 0.09207415580749512
facebook-wosn-wall SparsePush, serial, boolean-array, false, 0, 0.21998906135559082
github SparsePush, serial, boolean-array, false, 0, 0.13384127616882324
komarix-imdb SparsePush, serial, boolean-array, false, 0, 0.6251091957092285
moreno_blogs SparsePush, serial, boolean-array, false, 0, 0.014397621154785156
opsahl-usairport SparsePush, serial, boolean-array, false, 0, 0.01929163932800293
patentcite SparsePush, serial, boolean-array, false, 0, 3.284942388534546
petster-friendships-dog SparsePush, serial, boolean-array, false, 0, 1.9049863815307617
roadNet-CA SparsePush, serial, boolean-array, false, 0, 0.6563684940338135
subelj_cora SparsePush, serial, boolean-array, false, 0, 0.03797101974487305
sx-mathoverflow SparsePush, serial, boolean-array, false, 0, 0.14797258377075195
youtube-groupmemberships SparsePush, serial, boolean-array, false, 0, 0.07349967956542969
sx-stackoverflow SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 9.776987075805664
dblp-cite SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.0366954803466797
dbpedia-team SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.9756789207458496
dimacs9-E SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 2.0259900093078613
douban SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.9149739742279053
facebook-wosn-wall SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.19226551055908203
github SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.11907410621643066
komarix-imdb SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.5436148643493652
moreno_blogs SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.02714848518371582
opsahl-usairport SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.41959452629089355
patentcite SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 3.0354626178741455
petster-friendships-dog SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.845414161682129
