youtube-u-growth DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.32869982719421387, 0.003746
dblp_coauthor DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3464996814727783, 0.002849
soc-LiveJournal1 DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.872361421585083, 0.00588
orkut-links DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.3207995891571045, 0.005651
roadNet-CA DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2313709259033203, 0.002007
youtube-u-growth ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.9153881072998047, 0.000787
dblp_coauthor ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 1.8462231159210205, 0.01111
soc-LiveJournal1 ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 10.182756900787354, 0.036544
orkut-links ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 15.837960720062256, 0.003813
roadNet-CA ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.3079354763031006, 0.000302
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.806833028793335, 0.050159
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.43118810653686523, 0.0084
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.1020095348358154, 0.025158
orkut-links DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.7778699398040771, 0.046819
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2650792598724365, 0.00197
youtube-u-growth ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.9046947956085205, 0.00113
dblp_coauthor ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.832261323928833, 0.012668
soc-LiveJournal1 ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 8.46952748298645, 0.034468
orkut-links ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 15.708913803100586, 0.003135
roadNet-CA ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.2992665767669678, 0.000477
youtube-u-growth ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 0.9367821216583252, 0.003815
dblp_coauthor ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 1.8275070190429688, 0.013239
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 8.538093090057373, 0.044204
orkut-links ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 15.525959014892578, 0.006673
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 0.3044126033782959, 0.000218
youtube-u-growth ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.9090602397918701, 0.001209
dblp_coauthor ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.8365190029144287, 0.013403
soc-LiveJournal1 ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 8.415073156356812, 0.035976
orkut-links ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 15.472237586975098, 0.003255
roadNet-CA ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.295424222946167, 0.000521
youtube-u-growth ENABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.40852808952331543, 0.011359
dblp_coauthor ENABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.3838484287261963, 0.004283
soc-LiveJournal1 ENABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.9592592716217041, 0.010452
orkut-links ENABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 1.4800469875335693, 0.017108
roadNet-CA ENABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.21877241134643555, 0.000622
