youtube-u-growth DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6262104511260986, 0.032009
dblp_coauthor DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 19.175925493240356, 0.020741
soc-LiveJournal1 DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 51.22830820083618, 0.148856
orkut-links DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 78.00193381309509, 0.205116
roadNet-CA DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4207277297973633, 0.00389
youtube-u-growth ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 1.0088908672332764, 0.00022
dblp_coauthor ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 1.7364184856414795, 7.3e-05
soc-LiveJournal1 ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 8.217375993728638, 0.000219
orkut-links ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 15.93471884727478, 7.3e-05
roadNet-CA ENABLED, TWC, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.31455039978027344, 7.2e-05
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.140932321548462, 0.1869
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.6234686374664307, 0.02725
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 3.003929615020752, 0.219088
orkut-links DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 4.787185907363892, 0.353382
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2652397155761719, 0.003772
youtube-u-growth ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.0665113925933838, 0.018256
dblp_coauthor ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.910038948059082, 0.018779
soc-LiveJournal1 ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 8.880966424942017, 0.081255
orkut-links ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 16.721818923950195, 0.110632
roadNet-CA ENABLED, TWCE, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.34630441665649414, 0.007204
youtube-u-growth ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 1.3471226692199707, 0.045795
dblp_coauthor ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 1.8850584030151367, 0.01682
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 8.952467679977417, 0.102633
orkut-links ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 16.519190788269043, 0.11688
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 0.31217169761657715, 0.003683
youtube-u-growth DISABLED, TWC, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.9582035541534424, 7.6e-05
dblp_coauthor DISABLED, TWC, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.802168607711792, 7.6e-05
soc-LiveJournal1 DISABLED, TWC, None, 0, PULL, ENABLED, FUSED, BITMAP, 8.36434006690979, 0.000206
orkut-links DISABLED, TWC, None, 0, PULL, ENABLED, FUSED, BITMAP, 15.217823505401611, 7.1e-05
roadNet-CA DISABLED, TWC, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.330272912979126, 7.6e-05
youtube-u-growth ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.072890043258667, 0.018266
dblp_coauthor ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.9280483722686768, 0.018792
soc-LiveJournal1 ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 8.877086639404297, 0.081175
orkut-links ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 16.264664888381958, 0.110657
roadNet-CA ENABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.34917449951171875, 0.007206
