youtube-u-growth SparsePush, serial, boolean-array, false, 0, 1.3545997142791748, 0.228258
dblp_coauthor SparsePush, serial, boolean-array, false, 0, 4.101588487625122, 0.324618
soc-LiveJournal1 SparsePush, serial, boolean-array, false, 0, 9.839871406555176, 1.13682
orkut-links SparsePush, serial, boolean-array, false, 0, 15.21713662147522, 1.09474
roadNet-CA SparsePush, serial, boolean-array, false, 0, 0.31916379928588867, 0.000301
youtube-u-growth SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.166994571685791, 0.048672
dblp_coauthor SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 3.8250770568847656, 0.036822
soc-LiveJournal1 SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 8.818682193756104, 0.133971
orkut-links SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 14.247329950332642, 0.246865
roadNet-CA SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.3219413757324219, 0.00048
youtube-u-growth SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.1639199256896973, 0.049626
dblp_coauthor SparsePush, static-vertex-parallel, boolean-array, false, 0, 3.8216850757598877, 0.037911
soc-LiveJournal1 SparsePush, static-vertex-parallel, boolean-array, false, 0, 8.834623098373413, 0.122799
orkut-links SparsePush, static-vertex-parallel, boolean-array, false, 0, 14.302270650863647, 0.214117
roadNet-CA SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.32280635833740234, 0.000415
youtube-u-growth DensePull, serial, boolean-array, false, 0, 1.6874728202819824, 0.579021
dblp_coauthor DensePull, serial, boolean-array, false, 0, 4.444901704788208, 0.666877
soc-LiveJournal1 DensePull, serial, boolean-array, false, 0, 11.37090277671814, 2.67414
orkut-links DensePull, serial, boolean-array, false, 0, 16.091342210769653, 1.99852
roadNet-CA DensePull, serial, boolean-array, false, 0, 0.5307285785675049, 0.211744
youtube-u-growth DensePull, serial, bitvector, false, 0, 1.6536986827850342, 0.491198
dblp_coauthor DensePull, serial, bitvector, false, 0, 4.256466388702393, 0.478972
soc-LiveJournal1 DensePull, serial, bitvector, false, 0, 10.559664964675903, 1.88964
orkut-links DensePull, serial, bitvector, false, 0, 15.674227952957153, 1.58939
roadNet-CA DensePull, serial, bitvector, false, 0, 0.5509576797485352, 0.229735
youtube-u-growth DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 1.2122366428375244, 0.101404
dblp_coauthor DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 3.9907259941101074, 0.182121
soc-LiveJournal1 DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 9.99956488609314, 1.30471
orkut-links DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 14.324185371398926, 0.3192
roadNet-CA DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.3440539836883545, 0.019715
youtube-u-growth DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.1798417568206787, 0.063571
dblp_coauthor DensePull, dynamic-vertex-parallel, bitvector, false, 0, 3.9182348251342773, 0.111667
soc-LiveJournal1 DensePull, dynamic-vertex-parallel, bitvector, false, 0, 9.189844369888306, 0.529994
orkut-links DensePull, dynamic-vertex-parallel, bitvector, false, 0, 14.27474045753479, 0.196762
roadNet-CA DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.34338903427124023, 0.022662
youtube-u-growth DensePull, static-vertex-parallel, boolean-array, false, 0, 1.2430999279022217, 0.103265
dblp_coauthor DensePull, static-vertex-parallel, boolean-array, false, 0, 4.011085271835327, 0.193575
soc-LiveJournal1 DensePull, static-vertex-parallel, boolean-array, false, 0, 10.005971431732178, 1.27641
orkut-links DensePull, static-vertex-parallel, boolean-array, false, 0, 14.367454767227173, 0.292178
roadNet-CA DensePull, static-vertex-parallel, boolean-array, false, 0, 0.3473062515258789, 0.019183
youtube-u-growth DensePull, static-vertex-parallel, bitvector, false, 0, 1.194796085357666, 0.063393
dblp_coauthor DensePull, static-vertex-parallel, bitvector, false, 0, 3.946474075317383, 0.119086
soc-LiveJournal1 DensePull, static-vertex-parallel, bitvector, false, 0, 9.269530534744263, 0.563701
orkut-links DensePull, static-vertex-parallel, bitvector, false, 0, 14.318441152572632, 0.206563
roadNet-CA DensePull, static-vertex-parallel, bitvector, false, 0, 0.34817981719970703, 0.022773
youtube-u-growth DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.7844157218933105, 0.647183
dblp_coauthor DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 4.515727758407593, 0.709334
soc-LiveJournal1 DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 11.666521787643433, 2.98573
orkut-links DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 16.38281488418579, 2.21244
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.5480949878692627, 0.221668
