{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt github
