SparsePush, serial, bitvector, eager_priority_update, static-parallel, 0, 3.036104202270508
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 1, 3.052692174911499
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 2, 3.022221088409424
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 3, 3.0402865409851074
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 4, 3.0380935668945312
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 5, 3.01863956451416
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 6, 3.036564826965332
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 7, 3.0236618518829346
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 8, 3.0286402702331543
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 9, 2.99953293800354
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 10, 3.014392852783203
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 11, 3.014906406402588
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 12, 3.0225136280059814
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 13, 3.0168917179107666
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 14, 3.038862943649292
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 15, 3.0108888149261475
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 16, 3.033808708190918
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 17, 3.061624526977539
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 18, 3.0191032886505127
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 19, 3.033001184463501
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 20, 3.028146743774414
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 21, 3.02362322807312
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 22, 3.029175281524658
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 23, 3.0192103385925293
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 24, 3.0197534561157227
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 0, 3.0389609336853027
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 1, 3.0147581100463867
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 2, 2.996696949005127
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 3, 3.0261240005493164
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 4, 3.024405002593994
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 5, 3.0127429962158203
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 6, 3.040491819381714
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 7, 3.032510995864868
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 8, 3.035111904144287
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 9, 3.0210022926330566
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 10, 3.0428919792175293
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 11, 3.042086124420166
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 12, 3.038600444793701
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 13, 3.031085252761841
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 14, 3.0221261978149414
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 15, 3.047717571258545
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 16, 3.0241048336029053
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 17, 3.025264024734497
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 18, 3.0442862510681152
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 19, 3.039562463760376
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 20, 3.017505645751953
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 21, 3.0293526649475098
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 22, 3.0501668453216553
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 23, 3.0304362773895264
SparsePush, serial, bitvector, eager_priority_update, static-parallel, 24, 2.99882173538208
SparsePush, serial, bitvector, eager_priority_update, dynamic-parallel, 0, 3.0113718509674072
SparsePush, serial, bitvector, eager_priority_update, dynamic-parallel, 1, 3.031940460205078
SparsePush, serial, bitvector, eager_priority_update, dynamic-parallel, 2, 3.0270957946777344
SparsePush, serial, bitvector, eager_priority_update, dynamic-parallel, 3, 3.030958414077759
