SparsePush, serial, bitvector, eager_priority_update, static-parallel, 0, 3.0253379344940186
SparsePush, serial, bitvector, eager_priority_update, false, 1, 0.027816295623779297
SparsePush, serial, bitvector, eager_priority_update_with_merge, false, 1, 0.02601456642150879
SparsePush, serial, boolean-array, eager_priority_update, false, 1, 0.032907724380493164
SparsePush, serial, boolean-array, eager_priority_update_with_merge, false, 1, 0.04839920997619629
SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 0.02715778350830078
SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 1, 0.030465364456176758
SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 0.025505781173706055
SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 1, 0.03321957588195801
DensePush, serial, bitvector, eager_priority_update, false, 1, 0.022341489791870117
DensePush, serial, boolean-array, eager_priority_update, false, 1, 0.025499582290649414
DensePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 0.02289128303527832
DensePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 0.027306556701660156
DensePull, serial, bitvector, eager_priority_update, false, 1, 0.20695161819458008
DensePull, serial, bitvector, eager_priority_update, static-parallel, 1, 0.03593611717224121
DensePull, serial, bitvector, eager_priority_update, static-parallel, 1, 0.19163107872009277
DensePull, serial, bitvector, eager_priority_update, dynamic-parallel, 1, 0.02318596839904785
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 1, 0.03140878677368164
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 2, 0.03241109848022461
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 3, 0.02340412139892578
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 4, 0.02877211570739746
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 5, 0.020240306854248047
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 6, 0.027591943740844727
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 7, 0.022435426712036133
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 8, 0.03496575355529785
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 9, 0.020824909210205078
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 10, 0.07252717018127441
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 11, 0.047780752182006836
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 12, 0.043431997299194336
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 13, 0.02334737777709961
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 14, 0.18929505348205566
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 15, 0.04590201377868652
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 16, 0.024374961853027344
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 17, 0.020409345626831055
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 18, 0.023410320281982422
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 19, 0.033170461654663086
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 20, 0.02780628204345703
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 21, 0.025349855422973633
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 22, 0.018709659576416016
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 23, 0.15210604667663574
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 24, 0.03121209144592285
DensePull, serial, bitvector, eager_priority_update_with_merge, static-parallel, 1, 0.038651466369628906
DensePull, serial, bitvector, eager_priority_update_with_merge, static-parallel, 1, 0.02030777931213379
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 1, 0.4018115997314453
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 2, 0.026261329650878906
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 3, 0.022596359252929688
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 4, 0.03367304801940918
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 5, 0.019714832305908203
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 6, 0.026470661163330078
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 7, 0.024312734603881836
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 8, 0.022932052612304688
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 9, 0.04266858100891113
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 10, 0.03867912292480469
DensePull, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 11, 0.21888518333435059
