write_cfg_time: 0.00021314620971679688, compile_time: 21.193942546844482, run_time: 26.442307949066162, exec_time: 2.45573
write_cfg_time: 0.0002446174621582031, compile_time: 18.623279333114624, run_time: 25.877577781677246, exec_time: 1.93703
write_cfg_time: 0.0004220008850097656, compile_time: 18.862242460250854, run_time: 26.584823608398438, exec_time: 2.47575
write_cfg_time: 0.0002117156982421875, compile_time: 18.769699096679688, run_time: 17.33768606185913, exec_time: 1.56375
write_cfg_time: 0.0002086162567138672, compile_time: 18.639360427856445, run_time: 18.82485866546631, exec_time: 0.28173
write_cfg_time: 0.0002465248107910156, compile_time: 18.59928321838379, run_time: 14.084234237670898, exec_time: 1.23572
write_cfg_time: 0.0003829002380371094, compile_time: 18.758074522018433, run_time: 29.005885124206543, exec_time: 2.31956
write_cfg_time: 0.0001823902130126953, compile_time: 20.402663946151733, run_time: 20.27002716064453, exec_time: 1.81173
write_cfg_time: 0.0002429485321044922, compile_time: 18.74029231071472, run_time: 23.135802268981934, exec_time: 2.13604
write_cfg_time: 0.0003154277801513672, compile_time: 19.200027227401733, run_time: 17.330134630203247, exec_time: 1.55168
write_cfg_time: 0.00023102760314941406, compile_time: 18.80911135673523, run_time: 53.98846077919006, exec_time: 5.19634
write_cfg_time: 0.00033283233642578125, compile_time: 19.122319221496582, run_time: 26.36454200744629, exec_time: 2.40402
write_cfg_time: 0.00043129920959472656, compile_time: 19.567598581314087, run_time: 14.105594635009766, exec_time: 1.20395
write_cfg_time: 0.0004134178161621094, compile_time: 18.64829969406128, run_time: 14.032881736755371, exec_time: 1.2038
write_cfg_time: 0.0001773834228515625, compile_time: 19.724578857421875, run_time: 20.54863405227661, exec_time: 1.86681
write_cfg_time: 0.0002455711364746094, compile_time: 20.27787733078003, run_time: 18.38185739517212, exec_time: 0.555311
write_cfg_time: 0.00022721290588378906, compile_time: 18.923837423324585, run_time: 18.250997304916382, exec_time: 0.307951
write_cfg_time: 0.00046253204345703125, compile_time: 18.78959059715271, run_time: 17.120180130004883, exec_time: 1.51976
write_cfg_time: 0.00032806396484375, compile_time: 18.6186683177948, run_time: 29.813899278640747, exec_time: 2.78372
write_cfg_time: 0.00018286705017089844, compile_time: 19.985778093338013, run_time: 47.85420227050781, exec_time: 4.58762
write_cfg_time: 0.0002713203430175781, compile_time: 18.948740243911743, run_time: 17.26524806022644, exec_time: 1.51573
write_cfg_time: 0.0004284381866455078, compile_time: 20.135536193847656, run_time: 20.332860946655273, exec_time: 1.81577
write_cfg_time: 0.00017881393432617188, compile_time: 19.05716896057129, run_time: 14.406284093856812, exec_time: 1.25172
write_cfg_time: 0.00022411346435546875, compile_time: 19.748080015182495, run_time: 23.45444965362549, exec_time: 2.07159
write_cfg_time: 0.00021886825561523438, compile_time: 19.09784460067749, run_time: 8.174631595611572, exec_time: 0.644748
write_cfg_time: 0.0002009868621826172, compile_time: 20.16645860671997, run_time: 8.15874195098877, exec_time: 0.635942
write_cfg_time: 0.0003185272216796875, compile_time: 18.739341974258423, run_time: 17.61122441291809, exec_time: 0.298913
write_cfg_time: 0.00020813941955566406, compile_time: 20.31111240386963, run_time: 14.156863927841187, exec_time: 1.21966
write_cfg_time: 0.0003352165222167969, compile_time: 20.371564149856567, run_time: 20.494606018066406, exec_time: 1.83165
write_cfg_time: 0.0003833770751953125, compile_time: 20.040748357772827, run_time: 23.44973373413086, exec_time: 2.16371
write_cfg_time: 0.0002770423889160156, compile_time: 19.160369873046875, run_time: 26.492902278900146, exec_time: 2.45073
write_cfg_time: 0.00021600723266601562, compile_time: 18.627408266067505, run_time: 14.749767541885376, exec_time: 1.29579
write_cfg_time: 0.0004467964172363281, compile_time: 20.262261629104614, run_time: 63.94064474105835, exec_time: 6.11971
write_cfg_time: 0.00048422813415527344, compile_time: 20.443690538406372, run_time: 75.51664566993713, exec_time: 6.82832
write_cfg_time: 0.00028634071350097656, compile_time: 20.338905811309814, run_time: 20.245630979537964, exec_time: 1.7997
write_cfg_time: 0.0002079010009765625, compile_time: 20.19030261039734, run_time: 8.181490421295166, exec_time: 0.655705
write_cfg_time: 0.0005352497100830078, compile_time: 18.525550842285156, run_time: 14.10973048210144, exec_time: 1.14366
write_cfg_time: 0.000217437744140625, compile_time: 19.91603708267212, run_time: 19.949975967407227, exec_time: 1.84757
write_cfg_time: 0.00024390220642089844, compile_time: 18.59547472000122, run_time: 14.140459775924683, exec_time: 1.23183
write_cfg_time: 0.00033402442932128906, compile_time: 19.684494018554688, run_time: 13.613422393798828, exec_time: 0.833424
write_cfg_time: 0.0004112720489501953, compile_time: 18.659796237945557, run_time: 71.94882774353027, exec_time: 6.84372
write_cfg_time: 0.00021910667419433594, compile_time: 19.30864143371582, run_time: 45.2712984085083, exec_time: 2.20131
write_cfg_time: 0.000209808349609375, compile_time: 20.087092876434326, run_time: 20.072953939437866, exec_time: 1.72356
write_cfg_time: 0.0002968311309814453, compile_time: 18.880617380142212, run_time: 20.231165170669556, exec_time: 1.7831
write_cfg_time: 0.000240325927734375, compile_time: 18.58829641342163, run_time: 10.127310752868652, exec_time: 0.601882
write_cfg_time: 0.0003724098205566406, compile_time: 19.94111132621765, run_time: 20.378817319869995, exec_time: 1.8417
write_cfg_time: 0.0003294944763183594, compile_time: 19.77043128013611, run_time: 20.128901481628418, exec_time: 1.61958
write_cfg_time: 0.000209808349609375, compile_time: 18.462562084197998, run_time: 7.982714891433716, exec_time: 0.610294
write_cfg_time: 0.00034046173095703125, compile_time: 18.799278259277344, run_time: 64.69464588165283, exec_time: 4.43838
write_cfg_time: 0.0002129077911376953, compile_time: 19.98595380783081, run_time: 57.6133918762207, exec_time: 0.218806
write_cfg_time: 0.00019216537475585938, compile_time: 19.31032633781433, run_time: 21.581063270568848, exec_time: 1.09747
write_cfg_time: 0.0001900196075439453, compile_time: 19.95958161354065, run_time: 37.46246266365051, exec_time: 2.32223
write_cfg_time: 0.00017547607421875, compile_time: 19.468854665756226, run_time: 32.64396953582764, exec_time: 3.03171
write_cfg_time: 0.00020003318786621094, compile_time: 18.735960006713867, run_time: 14.16282868385315, exec_time: 1.23173
write_cfg_time: 0.00024247169494628906, compile_time: 20.06470799446106, run_time: 7.983158111572266, exec_time: 0.627868
write_cfg_time: 0.0002677440643310547, compile_time: 19.009448766708374, run_time: 63.8753399848938, exec_time: 4.79957
write_cfg_time: 0.00028014183044433594, compile_time: 19.216484308242798, run_time: 7.751214981079102, exec_time: 0.560141
write_cfg_time: 0.000225067138671875, compile_time: 19.7649507522583, run_time: 57.1640350818634, exec_time: 1.82758
write_cfg_time: 0.0002262592315673828, compile_time: 19.002259969711304, run_time: 7.823319911956787, exec_time: 0.603731
write_cfg_time: 0.0002651214599609375, compile_time: 18.945585250854492, run_time: 49.28019142150879, exec_time: 3.7683
write_cfg_time: 0.0003426074981689453, compile_time: 20.520220041275024, run_time: 56.58145785331726, exec_time: 1.44879
write_cfg_time: 0.0002970695495605469, compile_time: 18.81369423866272, run_time: 8.206037759780884, exec_time: 0.627813
write_cfg_time: 0.0003063678741455078, compile_time: 20.136087894439697, run_time: 46.03950834274292, exec_time: 3.61592
write_cfg_time: 0.00046753883361816406, compile_time: 19.818657398223877, run_time: 65.33477640151978, exec_time: 2.90371
write_cfg_time: 0.00021338462829589844, compile_time: 19.13325333595276, run_time: 11.219746828079224, exec_time: 0.95569
write_cfg_time: 0.0004258155822753906, compile_time: 18.757566928863525, run_time: 7.933466911315918, exec_time: 0.624163
write_cfg_time: 0.0003414154052734375, compile_time: 20.036721229553223, run_time: 59.9358651638031, exec_time: 5.3852
write_cfg_time: 0.0002758502960205078, compile_time: 19.354175329208374, run_time: 58.9522750377655, exec_time: 1.741
write_cfg_time: 0.0002391338348388672, compile_time: 18.71950936317444, run_time: 58.460649251937866, exec_time: 2.10769
write_cfg_time: 0.00029158592224121094, compile_time: 19.14915633201599, run_time: 66.436283826828, exec_time: 6.32771
write_cfg_time: 0.00017905235290527344, compile_time: 19.537556648254395, run_time: 7.843796014785767, exec_time: 0.623739
write_cfg_time: 0.00020170211791992188, compile_time: 18.624255895614624, run_time: 8.189592123031616, exec_time: 0.648012
write_cfg_time: 0.0002541542053222656, compile_time: 18.993001222610474, run_time: 76.19912719726562, exec_time: 7.34422
write_cfg_time: 0.0003216266632080078, compile_time: 20.58043622970581, run_time: 38.91805410385132, exec_time: 0.24882
write_cfg_time: 0.00029158592224121094, compile_time: 19.613988876342773, run_time: 7.84013032913208, exec_time: 0.619661
write_cfg_time: 0.0004172325134277344, compile_time: 18.83146381378174, run_time: 26.44262194633484, exec_time: 2.4575
write_cfg_time: 0.00020813941955566406, compile_time: 20.399574756622314, run_time: 7.960498332977295, exec_time: 0.615746
write_cfg_time: 0.0002231597900390625, compile_time: 19.525282382965088, run_time: 7.9420599937438965, exec_time: 0.63173
write_cfg_time: 0.00037026405334472656, compile_time: 20.172086238861084, run_time: 65.7051272392273, exec_time: 6.25574
write_cfg_time: 0.00022983551025390625, compile_time: 19.774719953536987, run_time: 7.977903366088867, exec_time: 0.595535
write_cfg_time: 0.0003654956817626953, compile_time: 19.668651342391968, run_time: 69.56052494049072, exec_time: 1.08111
write_cfg_time: 0.00023794174194335938, compile_time: 20.126718044281006, run_time: 8.088831663131714, exec_time: 0.652163
write_cfg_time: 0.00022554397583007812, compile_time: 20.47855806350708, run_time: 72.9741997718811, exec_time: 4.34798
write_cfg_time: 0.00020265579223632812, compile_time: 20.592878103256226, run_time: 13.793910503387451, exec_time: 1.04751
write_cfg_time: 0.0008342266082763672, compile_time: 33.94120407104492, run_time: 90.59428882598877, exec_time: 6.77199
write_cfg_time: 0.00033283233642578125, compile_time: 20.401169776916504, run_time: 8.631462574005127, exec_time: 0.681027
write_cfg_time: 0.0003604888916015625, compile_time: 20.426457166671753, run_time: 8.412737607955933, exec_time: 0.663976
write_cfg_time: 0.00026416778564453125, compile_time: 21.213462352752686, run_time: 67.95408320426941, exec_time: 6.57527
write_cfg_time: 0.00022983551025390625, compile_time: 29.555111408233643, run_time: 120.70985174179077, exec_time: 11.1881
write_cfg_time: 0.0004191398620605469, compile_time: 35.443514585494995, run_time: 123.12415075302124, exec_time: 11.5759
write_cfg_time: 0.00039196014404296875, compile_time: 35.09468698501587, run_time: 69.61089420318604, exec_time: 6.43975
write_cfg_time: 0.0006453990936279297, compile_time: 21.457396030426025, run_time: 8.485371351242065, exec_time: 0.660041
write_cfg_time: 0.0002472400665283203, compile_time: 19.780404567718506, run_time: 24.191710948944092, exec_time: 2.22625
write_cfg_time: 0.00031185150146484375, compile_time: 18.501439809799194, run_time: 8.229445695877075, exec_time: 0.656186
write_cfg_time: 0.0002353191375732422, compile_time: 19.327543020248413, run_time: 60.498141288757324, exec_time: 5.09668
write_cfg_time: 0.00033664703369140625, compile_time: 20.4712073802948, run_time: 8.187242031097412, exec_time: 0.640053
