all_time: 23.153645038604736, write_cfg_time: 0.0002384185791015625, compile_time: 19.75189781188965, exec_time: 0.00319
all_time: 45.121766805648804, write_cfg_time: 0.0004904270172119141, compile_time: 39.63989233970642, exec_time: 0.006442
all_time: 69.3132553100586, write_cfg_time: 0.0008409023284912109, compile_time: 59.802990198135376, exec_time: 0.009583999999999999
all_time: 94.89945554733276, write_cfg_time: 0.0013604164123535156, compile_time: 80.04247760772705, exec_time: 0.012806999999999999
all_time: 120.24507021903992, write_cfg_time: 0.0016057491302490234, compile_time: 100.68038535118103, exec_time: 0.29899200000000004
all_time: 142.27297258377075, write_cfg_time: 0.0018231868743896484, compile_time: 120.15895128250122, exec_time: 0.30228700000000003
all_time: 166.00799417495728, write_cfg_time: 0.0020411014556884766, compile_time: 141.0450403690338, exec_time: 0.309452
all_time: 190.36968970298767, write_cfg_time: 0.002323627471923828, compile_time: 162.10028505325317, exec_time: 0.312856
all_time: 213.42218136787415, write_cfg_time: 0.00254058837890625, compile_time: 182.2488353252411, exec_time: 0.31608200000000003
all_time: 235.05546855926514, write_cfg_time: 0.002880573272705078, compile_time: 202.08146142959595, exec_time: 0.31931800000000005
all_time: 260.5575530529022, write_cfg_time: 0.003225564956665039, compile_time: 222.93769359588623, exec_time: 0.32246
all_time: 283.3228380680084, write_cfg_time: 0.0035703182220458984, compile_time: 242.99697923660278, exec_time: 0.47816400000000003
all_time: 310.3979477882385, write_cfg_time: 0.0037903785705566406, compile_time: 262.1107552051544, exec_time: 0.608692
all_time: 333.4338276386261, write_cfg_time: 0.0040280818939208984, compile_time: 282.49735951423645, exec_time: 0.611889
all_time: 355.6694779396057, write_cfg_time: 0.004243612289428711, compile_time: 301.82613945007324, exec_time: 0.6152650000000001
all_time: 379.7155137062073, write_cfg_time: 0.0044727325439453125, compile_time: 321.61008477211, exec_time: 0.622623
all_time: 404.4251425266266, write_cfg_time: 0.0046939849853515625, compile_time: 342.6071252822876, exec_time: 0.626105
all_time: 430.17383098602295, write_cfg_time: 0.004963397979736328, compile_time: 362.6107096672058, exec_time: 0.6293
all_time: 456.4115426540375, write_cfg_time: 0.0051953792572021484, compile_time: 382.44888949394226, exec_time: 0.841719
all_time: 481.1589744091034, write_cfg_time: 0.0055446624755859375, compile_time: 402.13401222229004, exec_time: 0.845429
all_time: 505.5567376613617, write_cfg_time: 0.00577855110168457, compile_time: 422.84211349487305, exec_time: 0.875783
all_time: 528.0562751293182, write_cfg_time: 0.006013393402099609, compile_time: 443.04807472229004, exec_time: 0.878861
all_time: 552.8350849151611, write_cfg_time: 0.006241321563720703, compile_time: 463.3491609096527, exec_time: 0.885354
all_time: 576.9756863117218, write_cfg_time: 0.006539344787597656, compile_time: 484.46192693710327, exec_time: 1.096032
all_time: 599.5197157859802, write_cfg_time: 0.0067789554595947266, compile_time: 503.74075150489807, exec_time: 1.16329
all_time: 622.1624054908752, write_cfg_time: 0.007028102874755859, compile_time: 522.9538295269012, exec_time: 1.166563
all_time: 644.7031073570251, write_cfg_time: 0.007321596145629883, compile_time: 542.8060657978058, exec_time: 1.169723
