write_cfg_time: 0.0002384185791015625, compile_time: 19.75189781188965, run_time: 2.055814266204834, exec_time: 0.00319
write_cfg_time: 0.00025200843811035156, compile_time: 19.887994527816772, run_time: 2.0172786712646484, exec_time: 0.003252
write_cfg_time: 0.0003504753112792969, compile_time: 20.163097858428955, run_time: 3.9281609058380127, exec_time: 0.003142
write_cfg_time: 0.0005195140838623047, compile_time: 20.239487409591675, run_time: 5.255050897598267, exec_time: 0.003223
write_cfg_time: 0.0002453327178955078, compile_time: 20.63790774345398, run_time: 4.651385307312012, exec_time: 0.286185
write_cfg_time: 0.000217437744140625, compile_time: 19.47856593132019, run_time: 2.500014066696167, exec_time: 0.003295
write_cfg_time: 0.00021791458129882812, compile_time: 20.886089086532593, run_time: 2.716458797454834, exec_time: 0.007165
write_cfg_time: 0.00028252601623535156, compile_time: 21.05524468421936, run_time: 3.289869785308838, exec_time: 0.003404
write_cfg_time: 0.00021696090698242188, compile_time: 20.148550271987915, run_time: 2.81592059135437, exec_time: 0.003226
write_cfg_time: 0.0003399848937988281, compile_time: 19.83262610435486, run_time: 1.7824575901031494, exec_time: 0.003236
write_cfg_time: 0.00034499168395996094, compile_time: 20.856232166290283, run_time: 4.595836400985718, exec_time: 0.003142
write_cfg_time: 0.0003447532653808594, compile_time: 20.059285640716553, run_time: 2.6850392818450928, exec_time: 0.155704
write_cfg_time: 0.0002200603485107422, compile_time: 19.113775968551636, run_time: 7.818192481994629, exec_time: 0.130528
write_cfg_time: 0.0002377033233642578, compile_time: 20.38660430908203, run_time: 2.5868825912475586, exec_time: 0.003197
write_cfg_time: 0.0002155303955078125, compile_time: 19.328779935836792, run_time: 2.8238751888275146, exec_time: 0.003376
write_cfg_time: 0.00022912025451660156, compile_time: 19.783945322036743, run_time: 4.198718547821045, exec_time: 0.007358
write_cfg_time: 0.00022125244140625, compile_time: 20.997040510177612, run_time: 3.6206676959991455, exec_time: 0.003482
write_cfg_time: 0.0002694129943847656, compile_time: 20.003584384918213, run_time: 5.722033500671387, exec_time: 0.003195
write_cfg_time: 0.0002319812774658203, compile_time: 19.83817982673645, run_time: 6.236553192138672, exec_time: 0.212419
write_cfg_time: 0.00034928321838378906, compile_time: 19.68512272834778, run_time: 5.043736696243286, exec_time: 0.00371
write_cfg_time: 0.0002338886260986328, compile_time: 20.708101272583008, run_time: 3.592724561691284, exec_time: 0.030354
write_cfg_time: 0.00023484230041503906, compile_time: 20.205961227416992, run_time: 2.2359039783477783, exec_time: 0.003078
write_cfg_time: 0.00022792816162109375, compile_time: 20.30108618736267, run_time: 4.353749990463257, exec_time: 0.006493
write_cfg_time: 0.0002980232238769531, compile_time: 21.11276602745056, run_time: 3.010364294052124, exec_time: 0.210678
write_cfg_time: 0.0002396106719970703, compile_time: 19.2788245677948, run_time: 3.184394121170044, exec_time: 0.067258
write_cfg_time: 0.0002491474151611328, compile_time: 19.213078022003174, run_time: 3.4052891731262207, exec_time: 0.003273
write_cfg_time: 0.00029349327087402344, compile_time: 19.85223627090454, run_time: 2.5732192993164062, exec_time: 0.00316
write_cfg_time: 0.00023126602172851562, compile_time: 19.886479377746582, run_time: 1.8682451248168945, exec_time: 0.003136
write_cfg_time: 0.00021958351135253906, compile_time: 21.349517583847046, run_time: 3.6987271308898926, exec_time: 0.041872
write_cfg_time: 0.00022411346435546875, compile_time: 19.23238754272461, run_time: 4.260219097137451, exec_time: 0.267833
write_cfg_time: 0.0003178119659423828, compile_time: 19.481162548065186, run_time: 2.56870698928833, exec_time: 0.124916
write_cfg_time: 0.00022292137145996094, compile_time: 20.06906795501709, run_time: 2.0285027027130127, exec_time: 0.003197
write_cfg_time: 0.00021457672119140625, compile_time: 20.250313758850098, run_time: 1.773000955581665, exec_time: 0.003229
write_cfg_time: 0.00022077560424804688, compile_time: 19.91129755973816, run_time: 5.284165143966675, exec_time: 0.284608
write_cfg_time: 0.0002532005310058594, compile_time: 20.632041454315186, run_time: 1.630059003829956, exec_time: 0.003163
write_cfg_time: 0.00035309791564941406, compile_time: 21.170481204986572, run_time: 2.60780668258667, exec_time: 0.003261
write_cfg_time: 0.0002181529998779297, compile_time: 21.41963768005371, run_time: 5.730984926223755, exec_time: 0.098259
write_cfg_time: 0.00024080276489257812, compile_time: 19.983490705490112, run_time: 2.048865795135498, exec_time: 0.003408
write_cfg_time: 0.00023317337036132812, compile_time: 19.79674506187439, run_time: 6.433176517486572, exec_time: 0.003167
write_cfg_time: 0.0002684593200683594, compile_time: 21.039633989334106, run_time: 4.69940447807312, exec_time: 0.00321
write_cfg_time: 0.00032782554626464844, compile_time: 19.849238872528076, run_time: 7.282548427581787, exec_time: 0.281577
write_cfg_time: 0.00023174285888671875, compile_time: 21.481242418289185, run_time: 2.492316722869873, exec_time: 0.003414
write_cfg_time: 0.00035262107849121094, compile_time: 19.742323398590088, run_time: 6.332496881484985, exec_time: 0.465833
write_cfg_time: 0.0003783702850341797, compile_time: 19.558734893798828, run_time: 10.032550811767578, exec_time: 0.107629
write_cfg_time: 0.0002105236053466797, compile_time: 20.76079797744751, run_time: 1.6766562461853027, exec_time: 0.003259
write_cfg_time: 0.00028133392333984375, compile_time: 21.108656644821167, run_time: 7.245653390884399, exec_time: 0.00354
write_cfg_time: 0.00032401084899902344, compile_time: 20.242721557617188, run_time: 3.017834424972534, exec_time: 0.003198
write_cfg_time: 0.0002460479736328125, compile_time: 19.506948709487915, run_time: 2.543039560317993, exec_time: 0.003281
write_cfg_time: 0.00031256675720214844, compile_time: 20.213213682174683, run_time: 6.430921316146851, exec_time: 0.082907
write_cfg_time: 0.0002560615539550781, compile_time: 20.842808961868286, run_time: 2.3665122985839844, exec_time: 0.003233
write_cfg_time: 0.000232696533203125, compile_time: 19.692062616348267, run_time: 5.478585958480835, exec_time: 0.003273
write_cfg_time: 0.0004477500915527344, compile_time: 20.301771640777588, run_time: 5.483507394790649, exec_time: 0.003243
write_cfg_time: 0.0002224445343017578, compile_time: 20.226864099502563, run_time: 9.449496507644653, exec_time: 0.726332
write_cfg_time: 0.00025844573974609375, compile_time: 20.74540901184082, run_time: 3.5603673458099365, exec_time: 0.007609
write_cfg_time: 0.0003304481506347656, compile_time: 19.617926836013794, run_time: 4.062460422515869, exec_time: 0.003217
write_cfg_time: 0.0002129077911376953, compile_time: 21.15648126602173, run_time: 6.4208245277404785, exec_time: 0.246456
write_cfg_time: 0.0003409385681152344, compile_time: 20.402539491653442, run_time: 6.88261866569519, exec_time: 0.486081
write_cfg_time: 0.0002124309539794922, compile_time: 20.923120498657227, run_time: 4.4614410400390625, exec_time: 0.013933
write_cfg_time: 0.00020384788513183594, compile_time: 19.952070474624634, run_time: 1.6539051532745361, exec_time: 0.003108
write_cfg_time: 0.0002694129943847656, compile_time: 19.784262657165527, run_time: 4.578362226486206, exec_time: 0.080303
write_cfg_time: 0.0003371238708496094, compile_time: 20.41224980354309, run_time: 6.066588401794434, exec_time: 0.299902
write_cfg_time: 0.0002181529998779297, compile_time: 19.539287567138672, run_time: 1.904623031616211, exec_time: 0.003168
write_cfg_time: 0.00021791458129882812, compile_time: 19.421021699905396, run_time: 1.866626501083374, exec_time: 0.003197
write_cfg_time: 0.0003533363342285156, compile_time: 20.65770411491394, run_time: 1.4085209369659424, exec_time: 0.00318
write_cfg_time: 0.00034332275390625, compile_time: 21.272263050079346, run_time: 5.463801145553589, exec_time: 0.003631
write_cfg_time: 0.0003581047058105469, compile_time: 20.081907272338867, run_time: 6.152658462524414, exec_time: 0.005285
write_cfg_time: 0.0003192424774169922, compile_time: 19.391742706298828, run_time: 4.50584864616394, exec_time: 0.172717
write_cfg_time: 0.00023794174194335938, compile_time: 20.53775715827942, run_time: 3.6529901027679443, exec_time: 0.012609
write_cfg_time: 0.00034332275390625, compile_time: 19.084105491638184, run_time: 2.7258920669555664, exec_time: 0.00322
write_cfg_time: 0.0002200603485107422, compile_time: 20.242486715316772, run_time: 13.002309322357178, exec_time: 0.045614
write_cfg_time: 0.0002465248107910156, compile_time: 20.11878991127014, run_time: 5.0192296504974365, exec_time: 0.00325
write_cfg_time: 0.00026345252990722656, compile_time: 21.59701156616211, run_time: 3.6227760314941406, exec_time: 0.083495
write_cfg_time: 0.00021409988403320312, compile_time: 19.445807933807373, run_time: 4.167946815490723, exec_time: 0.003323
write_cfg_time: 0.000217437744140625, compile_time: 20.75963282585144, run_time: 4.145336627960205, exec_time: 0.003213
write_cfg_time: 0.00036525726318359375, compile_time: 20.475440740585327, run_time: 5.425299167633057, exec_time: 0.210857
write_cfg_time: 0.00034880638122558594, compile_time: 20.96766209602356, run_time: 5.34773063659668, exec_time: 0.102074
write_cfg_time: 0.00026416778564453125, compile_time: 21.126742601394653, run_time: 6.867942571640015, exec_time: 0.26447
write_cfg_time: 0.00034809112548828125, compile_time: 20.10267400741577, run_time: 3.123398780822754, exec_time: 0.003213
write_cfg_time: 0.00022745132446289062, compile_time: 19.51738429069519, run_time: 1.5983364582061768, exec_time: 0.003134
write_cfg_time: 0.0003402233123779297, compile_time: 19.911426782608032, run_time: 3.390535354614258, exec_time: 0.003321
write_cfg_time: 0.00023126602172851562, compile_time: 20.64696717262268, run_time: 2.2767889499664307, exec_time: 0.003725
