all_time: 22.387813568115234, write_cfg_time: 0.00019121170043945312, compile_time: 19.450341939926147, run_time: 2.642298698425293, exec_time: 0.006129
all_time: 48.47023630142212, write_cfg_time: 0.0005805492401123047, compile_time: 39.896891593933105, run_time: 8.26046371459961, exec_time: 0.010222
all_time: 99.39898562431335, write_cfg_time: 0.0011487007141113281, compile_time: 59.49035716056824, run_time: 39.35915422439575, exec_time: 0.019042
all_time: 130.07999753952026, write_cfg_time: 0.0015375614166259766, compile_time: 80.04200530052185, run_time: 49.417171001434326, exec_time: 0.023372
all_time: 156.12919449806213, write_cfg_time: 0.0017232894897460938, compile_time: 99.14976334571838, run_time: 56.26238703727722, exec_time: 0.030427
all_time: 185.7618534564972, write_cfg_time: 0.002048969268798828, compile_time: 118.21454620361328, run_time: 66.81315326690674, exec_time: 0.03562
all_time: 212.21103477478027, write_cfg_time: 0.0022721290588378906, compile_time: 137.587975025177, run_time: 73.79989790916443, exec_time: 0.040907
all_time: 243.26149916648865, write_cfg_time: 0.0025093555450439453, compile_time: 158.73555541038513, run_time: 83.63549041748047, exec_time: 0.044719999999999996
all_time: 279.3034288883209, write_cfg_time: 0.0027942657470703125, compile_time: 178.19952821731567, run_time: 100.15618872642517, exec_time: 0.050199999999999995
all_time: 301.9852364063263, write_cfg_time: 0.0032215118408203125, compile_time: 197.2649221420288, run_time: 103.72154378890991, exec_time: 0.055723999999999996
all_time: 328.5024290084839, write_cfg_time: 0.0034492015838623047, compile_time: 218.29344654083252, run_time: 109.16119599342346, exec_time: 0.058301
all_time: 352.4796075820923, write_cfg_time: 0.0036864280700683594, compile_time: 238.36073231697083, run_time: 113.00981569290161, exec_time: 0.062325
all_time: 385.4240372180939, write_cfg_time: 0.0038976669311523438, compile_time: 259.2203462123871, run_time: 125.04414558410645, exec_time: 0.066675
all_time: 416.8634204864502, write_cfg_time: 0.004158973693847656, compile_time: 279.1463830471039, run_time: 136.4897336959839, exec_time: 0.07167899999999999
all_time: 445.0841429233551, write_cfg_time: 0.00436091423034668, compile_time: 300.15663838386536, run_time: 143.62493085861206, exec_time: 0.075024
all_time: 468.79753160476685, write_cfg_time: 0.004631757736206055, compile_time: 321.6658425331116, run_time: 145.77203059196472, exec_time: 0.07804799999999999
all_time: 492.5732650756836, write_cfg_time: 0.00488591194152832, compile_time: 340.8411068916321, run_time: 150.3103470802307, exec_time: 0.081688
all_time: 515.6383635997772, write_cfg_time: 0.005096435546875, compile_time: 360.51519536972046, run_time: 153.6006281375885, exec_time: 0.157828
all_time: 546.7879021167755, write_cfg_time: 0.0054340362548828125, compile_time: 380.84261751174927, run_time: 164.37253665924072, exec_time: 0.163072
all_time: 568.6982569694519, write_cfg_time: 0.005705595016479492, compile_time: 400.1640462875366, run_time: 166.8644347190857, exec_time: 0.16572
all_time: 592.9218113422394, write_cfg_time: 0.006081819534301758, compile_time: 420.64784383773804, run_time: 170.58509254455566, exec_time: 0.168538
all_time: 616.7722821235657, write_cfg_time: 0.0063893795013427734, compile_time: 441.6205849647522, run_time: 173.4064862728119, exec_time: 0.171602
all_time: 644.2207307815552, write_cfg_time: 0.006644248962402344, compile_time: 462.904025554657, run_time: 179.5141088962555, exec_time: 0.25802400000000003
all_time: 675.8956120014191, write_cfg_time: 0.0068395137786865234, compile_time: 483.17500400543213, run_time: 190.82188153266907, exec_time: 0.26374600000000004
all_time: 699.5299987792969, write_cfg_time: 0.007180690765380859, compile_time: 502.64449858665466, run_time: 194.9334578514099, exec_time: 0.26705300000000004
all_time: 727.2612636089325, write_cfg_time: 0.0075190067291259766, compile_time: 522.6188378334045, run_time: 202.67154026031494, exec_time: 0.27067900000000006
all_time: 752.3889119625092, write_cfg_time: 0.007729053497314453, compile_time: 542.5783548355103, run_time: 207.7438805103302, exec_time: 0.27412300000000006
all_time: 776.4815831184387, write_cfg_time: 0.007996082305908203, compile_time: 562.1379818916321, run_time: 212.25774478912354, exec_time: 0.27763600000000005
all_time: 800.0327475070953, write_cfg_time: 0.008315086364746094, compile_time: 582.783812046051, run_time: 215.11143851280212, exec_time: 0.28105300000000005
all_time: 825.9476563930511, write_cfg_time: 0.008522272109985352, compile_time: 603.1199426651001, run_time: 220.61379504203796, exec_time: 0.28415500000000005
all_time: 850.3846118450165, write_cfg_time: 0.008728504180908203, compile_time: 623.4494376182556, run_time: 224.59145069122314, exec_time: 0.28786100000000003
all_time: 874.1145632266998, write_cfg_time: 0.009024858474731445, compile_time: 643.9392120838165, run_time: 227.8139567375183, exec_time: 0.29186700000000004
all_time: 903.6425471305847, write_cfg_time: 0.009229421615600586, compile_time: 663.3913547992706, run_time: 237.79722571372986, exec_time: 0.294876
all_time: 933.0252823829651, write_cfg_time: 0.009423017501831055, compile_time: 682.2428059577942, run_time: 248.2616424560547, exec_time: 0.30011200000000005
all_time: 958.9156913757324, write_cfg_time: 0.009610652923583984, compile_time: 703.2136356830597, run_time: 253.0783407688141, exec_time: 0.30465900000000007
all_time: 984.2667820453644, write_cfg_time: 0.009931087493896484, compile_time: 722.6340959072113, run_time: 258.99116039276123, exec_time: 0.3132290000000001
all_time: 1012.2242016792297, write_cfg_time: 0.010237932205200195, compile_time: 742.6649098396301, run_time: 266.8792026042938, exec_time: 0.3165990000000001
all_time: 1032.4011452198029, write_cfg_time: 0.010495901107788086, compile_time: 762.3140652179718, run_time: 267.38928747177124, exec_time: 0.3197270000000001
all_time: 1059.8756172657013, write_cfg_time: 0.01068878173828125, compile_time: 782.7011411190033, run_time: 274.37636518478394, exec_time: 0.4607120000000001
all_time: 1089.9439187049866, write_cfg_time: 0.010996818542480469, compile_time: 802.449951171875, run_time: 284.67946434020996, exec_time: 0.4662250000000001
all_time: 1115.3884720802307, write_cfg_time: 0.011182546615600586, compile_time: 821.5677280426025, run_time: 290.89199137687683, exec_time: 0.4702860000000001
all_time: 1138.7399697303772, write_cfg_time: 0.011411428451538086, compile_time: 841.2079520225525, run_time: 294.56696462631226, exec_time: 0.4740120000000001
all_time: 1166.712571144104, write_cfg_time: 0.01160883903503418, compile_time: 863.0169129371643, run_time: 300.63182401657104, exec_time: 0.4778210000000001
all_time: 1193.6377928256989, write_cfg_time: 0.01201319694519043, compile_time: 882.6385176181793, run_time: 307.915833234787, exec_time: 0.4812250000000001
all_time: 1218.8179562091827, write_cfg_time: 0.01236104965209961, compile_time: 902.1102254390717, run_time: 313.56963086128235, exec_time: 0.4986080000000001
all_time: 1241.860687971115, write_cfg_time: 0.012701749801635742, compile_time: 921.9147481918335, run_time: 316.78777742385864, exec_time: 0.5019700000000001
all_time: 1263.2538976669312, write_cfg_time: 0.012948989868164062, compile_time: 941.3631575107574, run_time: 318.6226341724396, exec_time: 0.5052430000000001
all_time: 1285.53098487854, write_cfg_time: 0.013173580169677734, compile_time: 962.4611406326294, run_time: 319.7077901363373, exec_time: 0.5075660000000001
all_time: 1307.696486234665, write_cfg_time: 0.01337575912475586, compile_time: 981.7411975860596, run_time: 322.40482473373413, exec_time: 0.5116830000000001
all_time: 1333.8293144702911, write_cfg_time: 0.01358342170715332, compile_time: 1002.714492559433, run_time: 327.4871904850006, exec_time: 0.5152720000000001
all_time: 1355.6077165603638, write_cfg_time: 0.013951778411865234, compile_time: 1023.2878713607788, run_time: 328.6414978504181, exec_time: 0.5183850000000001
all_time: 1377.6449267864227, write_cfg_time: 0.014212369918823242, compile_time: 1043.6610045433044, run_time: 330.28869247436523, exec_time: 0.5285310000000001
all_time: 1405.363923549652, write_cfg_time: 0.014451265335083008, compile_time: 1063.7453382015228, run_time: 337.84469270706177, exec_time: 0.5320380000000001
all_time: 1428.8054950237274, write_cfg_time: 0.01481485366821289, compile_time: 1083.7253127098083, run_time: 341.2862386703491, exec_time: 0.5354580000000001
all_time: 1457.1381387710571, write_cfg_time: 0.015025615692138672, compile_time: 1103.395691394806, run_time: 349.84397315979004, exec_time: 0.5606890000000001
all_time: 1477.6976435184479, write_cfg_time: 0.015320539474487305, compile_time: 1122.3855097293854, run_time: 351.393940448761, exec_time: 0.5638610000000001
all_time: 1503.8505268096924, write_cfg_time: 0.015691280364990234, compile_time: 1142.627830028534, run_time: 357.24393129348755, exec_time: 0.567428
all_time: 1527.1886975765228, write_cfg_time: 0.0159146785736084, compile_time: 1162.6558210849762, run_time: 360.49810814857483, exec_time: 0.5712900000000001
all_time: 1552.6824979782104, write_cfg_time: 0.01621246337890625, compile_time: 1183.5498235225677, run_time: 365.0567123889923, exec_time: 0.5739500000000001
all_time: 1577.120195388794, write_cfg_time: 0.016833066940307617, compile_time: 1204.4634368419647, run_time: 368.55749559402466, exec_time: 0.5780000000000001
all_time: 1605.61572098732, write_cfg_time: 0.017048120498657227, compile_time: 1223.836405992508, run_time: 377.6016001701355, exec_time: 0.612573
all_time: 1628.9702455997467, write_cfg_time: 0.017429590225219727, compile_time: 1243.5080189704895, run_time: 381.2590253353119, exec_time: 0.615558
all_time: 1665.4983553886414, write_cfg_time: 0.017667531967163086, compile_time: 1263.3174724578857, run_time: 397.89717388153076, exec_time: 0.7960670000000001
all_time: 1692.196387052536, write_cfg_time: 0.017964839935302734, compile_time: 1284.7574663162231, run_time: 403.10528111457825, exec_time: 0.7991980000000001
all_time: 1720.7222735881805, write_cfg_time: 0.018262386322021484, compile_time: 1304.1232073307037, run_time: 412.2473318576813, exec_time: 0.806285
all_time: 1743.5583446025848, write_cfg_time: 0.01857757568359375, compile_time: 1324.1590747833252, run_time: 414.99368238449097, exec_time: 0.8090510000000001
all_time: 1766.8855004310608, write_cfg_time: 0.018810033798217773, compile_time: 1343.784530878067, run_time: 418.62690591812134, exec_time: 0.812914
all_time: 1791.0590398311615, write_cfg_time: 0.019193410873413086, compile_time: 1362.9642233848572, run_time: 423.5641396045685, exec_time: 0.8160080000000001
all_time: 1816.8596596717834, write_cfg_time: 0.01946282386779785, compile_time: 1383.7732260227203, run_time: 428.4826273918152, exec_time: 0.8183650000000001
all_time: 1846.3338558673859, write_cfg_time: 0.01995539665222168, compile_time: 1405.7425179481506, run_time: 435.91462659835815, exec_time: 0.8221480000000001
all_time: 1867.962785243988, write_cfg_time: 0.02025604248046875, compile_time: 1426.2139484882355, run_time: 437.05230140686035, exec_time: 0.8254950000000001
all_time: 1894.2032234668732, write_cfg_time: 0.020648717880249023, compile_time: 1446.0850727558136, run_time: 443.3690502643585, exec_time: 0.8286230000000001
all_time: 1919.9719240665436, write_cfg_time: 0.02086639404296875, compile_time: 1466.3656876087189, run_time: 448.7373559474945, exec_time: 0.8312430000000001
all_time: 1942.9495613574982, write_cfg_time: 0.021055936813354492, compile_time: 1487.7198379039764, run_time: 450.2444851398468, exec_time: 0.834075
all_time: 1967.7393324375153, write_cfg_time: 0.02129507064819336, compile_time: 1507.8963973522186, run_time: 454.7800643444061, exec_time: 0.8364550000000001
all_time: 1989.5163915157318, write_cfg_time: 0.02167987823486328, compile_time: 1527.3318555355072, run_time: 457.0729076862335, exec_time: 0.8387270000000001
all_time: 2015.5350108146667, write_cfg_time: 0.02199387550354004, compile_time: 1546.5937669277191, run_time: 463.80777192115784, exec_time: 0.8427920000000001
all_time: 2041.182872056961, write_cfg_time: 0.02229452133178711, compile_time: 1565.9403402805328, run_time: 469.9990499019623, exec_time: 0.846045
all_time: 2062.5442566871643, write_cfg_time: 0.022608280181884766, compile_time: 1585.483826637268, run_time: 471.7970871925354, exec_time: 0.8506100000000001
all_time: 2085.548726797104, write_cfg_time: 0.022829771041870117, compile_time: 1605.5105788707733, run_time: 474.7160165309906, exec_time: 0.8552810000000001
all_time: 2109.9553315639496, write_cfg_time: 0.023058652877807617, compile_time: 1625.4364364147186, run_time: 479.1389253139496, exec_time: 0.859245
all_time: 2133.047508955002, write_cfg_time: 0.02338099479675293, compile_time: 1644.788215637207, run_time: 482.7738227844238, exec_time: 0.863286
all_time: 2161.6072165966034, write_cfg_time: 0.02373027801513672, compile_time: 1665.2634973526, run_time: 490.80965971946716, exec_time: 0.868624
all_time: 2186.170532464981, write_cfg_time: 0.023940086364746094, compile_time: 1685.6099812984467, run_time: 494.93165922164917, exec_time: 0.940754
all_time: 2209.2802069187164, write_cfg_time: 0.024292469024658203, compile_time: 1705.2490737438202, run_time: 498.3826825618744, exec_time: 0.942932
all_time: 2242.916841983795, write_cfg_time: 0.024598121643066406, compile_time: 1725.4906697273254, run_time: 511.7347774505615, exec_time: 0.947433
all_time: 2266.8125507831573, write_cfg_time: 0.02478647232055664, compile_time: 1747.0772075653076, run_time: 513.9643337726593, exec_time: 0.9514199999999999
all_time: 2292.986249446869, write_cfg_time: 0.0249941349029541, compile_time: 1766.4572763442993, run_time: 520.7322657108307, exec_time: 0.9607349999999999
all_time: 2323.0842990875244, write_cfg_time: 0.025300264358520508, compile_time: 1786.9954512119293, run_time: 530.2489991188049, exec_time: 0.9660739999999999
all_time: 2352.016983985901, write_cfg_time: 0.02555251121520996, compile_time: 1806.9435801506042, run_time: 539.1613080501556, exec_time: 0.9712719999999999
all_time: 2383.5760910511017, write_cfg_time: 0.025812625885009766, compile_time: 1828.1549189090729, run_time: 549.4419219493866, exec_time: 0.9752429999999999
all_time: 2410.7948689460754, write_cfg_time: 0.026213884353637695, compile_time: 1848.050980091095, run_time: 556.7083504199982, exec_time: 0.9843499999999998
all_time: 2433.4676175117493, write_cfg_time: 0.026521921157836914, compile_time: 1867.8190727233887, run_time: 559.5964534282684, exec_time: 0.9863049999999999
all_time: 2459.38232421875, write_cfg_time: 0.026842832565307617, compile_time: 1888.3991293907166, run_time: 564.8707294464111, exec_time: 0.9901599999999999
all_time: 2482.842633485794, write_cfg_time: 0.027068614959716797, compile_time: 1908.4125232696533, run_time: 568.2709827423096, exec_time: 0.9921009999999999
all_time: 2511.9720323085785, write_cfg_time: 0.027353525161743164, compile_time: 1927.905972957611, run_time: 577.8506970405579, exec_time: 1.129457
all_time: 2535.9434661865234, write_cfg_time: 0.02764725685119629, compile_time: 1947.4689745903015, run_time: 582.2407004833221, exec_time: 1.134464
all_time: 2562.7931292057037, write_cfg_time: 0.027853965759277344, compile_time: 1966.9905261993408, run_time: 589.4668729305267, exec_time: 1.13964
all_time: 2589.471014022827, write_cfg_time: 0.028167247772216797, compile_time: 1987.546281337738, run_time: 595.5697071552277, exec_time: 1.142734
all_time: 2610.738651752472, write_cfg_time: 0.02847433090209961, compile_time: 2006.4795110225677, run_time: 597.8551690578461, exec_time: 1.14456
all_time: 2635.0721786022186, write_cfg_time: 0.028818845748901367, compile_time: 2025.6281025409698, run_time: 603.0189805030823, exec_time: 1.148049
all_time: 2656.657931804657, write_cfg_time: 0.02902984619140625, compile_time: 2044.569214105606, run_time: 605.5662558078766, exec_time: 1.152171
all_time: 2677.485236644745, write_cfg_time: 0.02944040298461914, compile_time: 2063.6113607883453, run_time: 607.3291690349579, exec_time: 1.153887
all_time: 2699.0976848602295, write_cfg_time: 0.02974677085876465, compile_time: 2082.9959259033203, run_time: 609.5067436695099, exec_time: 1.155699
all_time: 2723.9181909561157, write_cfg_time: 0.030078411102294922, compile_time: 2102.2727739810944, run_time: 615.0302305221558, exec_time: 1.158536
all_time: 2749.759534597397, write_cfg_time: 0.030287981033325195, compile_time: 2121.2542476654053, run_time: 621.8064332008362, exec_time: 1.1626400000000001
all_time: 2773.708456516266, write_cfg_time: 0.03058457374572754, compile_time: 2142.1670870780945, run_time: 624.824955701828, exec_time: 1.164562
all_time: 2797.238157272339, write_cfg_time: 0.030826807022094727, compile_time: 2162.65718793869, run_time: 627.7880103588104, exec_time: 1.174468
all_time: 2819.0490374565125, write_cfg_time: 0.03114175796508789, compile_time: 2182.5889081954956, run_time: 629.6470339298248, exec_time: 1.1771120000000002
all_time: 2845.8000588417053, write_cfg_time: 0.03156447410583496, compile_time: 2202.162294149399, run_time: 636.7502248287201, exec_time: 1.1853280000000002
all_time: 2875.881288290024, write_cfg_time: 0.031887054443359375, compile_time: 2221.444895505905, run_time: 647.530115365982, exec_time: 1.1894170000000002
all_time: 2897.8961992263794, write_cfg_time: 0.03208494186401367, compile_time: 2240.5850307941437, run_time: 650.3238356113434, exec_time: 1.1913380000000002
all_time: 2929.7042331695557, write_cfg_time: 0.032332420349121094, compile_time: 2261.3993854522705, run_time: 661.2913861274719, exec_time: 1.1954550000000002
all_time: 2953.2740104198456, write_cfg_time: 0.0326540470123291, compile_time: 2281.968291759491, run_time: 664.2363119125366, exec_time: 1.19799
all_time: 2986.5584008693695, write_cfg_time: 0.032922983169555664, compile_time: 2301.8392374515533, run_time: 677.5971441268921, exec_time: 1.2031440000000002
all_time: 3010.632152557373, write_cfg_time: 0.03345155715942383, compile_time: 2320.92449760437, run_time: 682.4855666160583, exec_time: 1.2076880000000003
all_time: 3031.680333375931, write_cfg_time: 0.03369021415710449, compile_time: 2339.998769760132, run_time: 684.4326441287994, exec_time: 1.2096320000000003
all_time: 3054.8353745937347, write_cfg_time: 0.03390026092529297, compile_time: 2361.1075332164764, run_time: 686.3806173801422, exec_time: 1.2127190000000003
all_time: 3087.1074738502502, write_cfg_time: 0.03410482406616211, compile_time: 2380.9543118476868, run_time: 698.7474360466003, exec_time: 1.3739700000000004
all_time: 3114.8468749523163, write_cfg_time: 0.034328460693359375, compile_time: 2401.033229827881, run_time: 706.3216364383698, exec_time: 1.4490510000000003
all_time: 3140.9831178188324, write_cfg_time: 0.03460502624511719, compile_time: 2420.340670824051, run_time: 713.1294853687286, exec_time: 1.4509680000000003
all_time: 3168.988622188568, write_cfg_time: 0.03491020202636719, compile_time: 2441.218728542328, run_time: 720.20654463768, exec_time: 1.4896120000000002
all_time: 3198.698078393936, write_cfg_time: 0.035256147384643555, compile_time: 2461.797349214554, run_time: 729.3189132213593, exec_time: 1.492652
all_time: 3239.802074432373, write_cfg_time: 0.03548312187194824, compile_time: 2481.471338033676, run_time: 750.6630499362946, exec_time: 1.543133
all_time: 3265.895083665848, write_cfg_time: 0.035936832427978516, compile_time: 2500.8166377544403, run_time: 757.3601541519165, exec_time: 1.546222
all_time: 3291.67444729805, write_cfg_time: 0.03622698783874512, compile_time: 2521.0558862686157, run_time: 762.8737509250641, exec_time: 1.550244
all_time: 3321.75919342041, write_cfg_time: 0.03642773628234863, compile_time: 2541.614708185196, run_time: 772.3174510002136, exec_time: 1.555882
all_time: 3346.2815742492676, write_cfg_time: 0.03670859336853027, compile_time: 2561.937639951706, run_time: 776.4518706798553, exec_time: 1.562319
all_time: 3369.923631668091, write_cfg_time: 0.03693580627441406, compile_time: 2582.298088788986, run_time: 779.6855444908142, exec_time: 1.564125
all_time: 3391.8481040000916, write_cfg_time: 0.037184953689575195, compile_time: 2601.5166091918945, run_time: 782.3189957141876, exec_time: 1.566757
all_time: 3415.8085582256317, write_cfg_time: 0.03749799728393555, compile_time: 2620.6327271461487, run_time: 787.143049955368, exec_time: 1.589024
all_time: 3439.8691058158875, write_cfg_time: 0.03773665428161621, compile_time: 2640.7034664154053, run_time: 791.0617289543152, exec_time: 1.597005
all_time: 3462.2121891975403, write_cfg_time: 0.03813362121582031, compile_time: 2660.5839507579803, run_time: 793.4998116493225, exec_time: 1.598937
all_time: 3497.284807443619, write_cfg_time: 0.03847217559814453, compile_time: 2680.871303796768, run_time: 808.242705821991, exec_time: 1.605277
all_time: 3527.8089578151703, write_cfg_time: 0.03866982460021973, compile_time: 2699.9291474819183, run_time: 819.6214752197266, exec_time: 1.705371
all_time: 3550.114620923996, write_cfg_time: 0.039107322692871094, compile_time: 2718.820075035095, run_time: 822.9944863319397, exec_time: 1.707338
all_time: 3571.6804847717285, write_cfg_time: 0.03936409950256348, compile_time: 2738.1344158649445, run_time: 825.2189965248108, exec_time: 1.711317
all_time: 3592.248704433441, write_cfg_time: 0.03958725929260254, compile_time: 2757.092257976532, run_time: 826.759840965271, exec_time: 1.713454
all_time: 3618.5407495498657, write_cfg_time: 0.03986048698425293, compile_time: 2776.866428375244, run_time: 833.257336139679, exec_time: 1.853879
all_time: 3650.7633419036865, write_cfg_time: 0.040178537368774414, compile_time: 2796.183985233307, run_time: 846.1195764541626, exec_time: 2.024838
all_time: 3676.106771469116, write_cfg_time: 0.04053854942321777, compile_time: 2816.80925989151, run_time: 850.7867827415466, exec_time: 2.031926
all_time: 3705.5102994441986, write_cfg_time: 0.04080677032470703, compile_time: 2837.376813650131, run_time: 859.4902567863464, exec_time: 2.1722919999999997
all_time: 3730.9591097831726, write_cfg_time: 0.041109323501586914, compile_time: 2857.0513117313385, run_time: 865.2217502593994, exec_time: 2.1747419999999997
all_time: 3766.2502830028534, write_cfg_time: 0.041356801986694336, compile_time: 2877.3783054351807, run_time: 880.1279990673065, exec_time: 2.491954
all_time: 3797.6536259651184, write_cfg_time: 0.04169607162475586, compile_time: 2897.510945081711, run_time: 891.3474414348602, exec_time: 2.495955
all_time: 3842.9943811893463, write_cfg_time: 0.04202675819396973, compile_time: 2917.0501799583435, run_time: 917.0763828754425, exec_time: 2.53011
all_time: 3875.107744216919, write_cfg_time: 0.04227495193481445, compile_time: 2936.229438304901, run_time: 929.92991065979, exec_time: 2.535659
all_time: 3900.966112136841, write_cfg_time: 0.04259061813354492, compile_time: 2957.241655111313, run_time: 934.7276747226715, exec_time: 2.539767
all_time: 3926.2212603092194, write_cfg_time: 0.04282951354980469, compile_time: 2977.585875272751, run_time: 939.615300655365, exec_time: 2.552875
all_time: 3948.5775694847107, write_cfg_time: 0.04308962821960449, compile_time: 2997.0548236370087, run_time: 942.4270391464233, exec_time: 2.555748
