write_cfg_time: 0.00019121170043945312, compile_time: 19.450341939926147, run_time: 2.642298698425293, exec_time: 0.006129
write_cfg_time: 0.00038933753967285156, compile_time: 20.446549654006958, run_time: 5.618165016174316, exec_time: 0.004093
write_cfg_time: 0.0005681514739990234, compile_time: 19.593465566635132, run_time: 31.098690509796143, exec_time: 0.00882
write_cfg_time: 0.00038886070251464844, compile_time: 20.551648139953613, run_time: 10.058016777038574, exec_time: 0.00433
write_cfg_time: 0.0001857280731201172, compile_time: 19.107758045196533, run_time: 6.8452160358428955, exec_time: 0.007055
write_cfg_time: 0.0003256797790527344, compile_time: 19.064782857894897, run_time: 10.550766229629517, exec_time: 0.005193
write_cfg_time: 0.0002231597900390625, compile_time: 19.37342882156372, run_time: 6.98674464225769, exec_time: 0.005287
write_cfg_time: 0.0002372264862060547, compile_time: 21.14758038520813, run_time: 9.83559250831604, exec_time: 0.003813
write_cfg_time: 0.0002849102020263672, compile_time: 19.463972806930542, run_time: 16.520698308944702, exec_time: 0.00548
write_cfg_time: 0.00042724609375, compile_time: 19.065393924713135, run_time: 3.565355062484741, exec_time: 0.005524
write_cfg_time: 0.0002276897430419922, compile_time: 21.02852439880371, run_time: 5.43965220451355, exec_time: 0.002577
write_cfg_time: 0.0002372264862060547, compile_time: 20.067285776138306, run_time: 3.8486196994781494, exec_time: 0.004024
write_cfg_time: 0.00021123886108398438, compile_time: 20.85961389541626, run_time: 12.034329891204834, exec_time: 0.00435
write_cfg_time: 0.0002613067626953125, compile_time: 19.926036834716797, run_time: 11.445588111877441, exec_time: 0.005004
write_cfg_time: 0.00020194053649902344, compile_time: 21.010255336761475, run_time: 7.135197162628174, exec_time: 0.003345
write_cfg_time: 0.000270843505859375, compile_time: 21.509204149246216, run_time: 2.147099733352661, exec_time: 0.003024
write_cfg_time: 0.0002541542053222656, compile_time: 19.175264358520508, run_time: 4.538316488265991, exec_time: 0.00364
write_cfg_time: 0.0002105236053466797, compile_time: 19.67408847808838, run_time: 3.290281057357788, exec_time: 0.07614
write_cfg_time: 0.0003376007080078125, compile_time: 20.32742214202881, run_time: 10.771908521652222, exec_time: 0.005244
write_cfg_time: 0.0002715587615966797, compile_time: 19.321428775787354, run_time: 2.4918980598449707, exec_time: 0.002648
write_cfg_time: 0.0003762245178222656, compile_time: 20.483797550201416, run_time: 3.7206578254699707, exec_time: 0.002818
write_cfg_time: 0.0003075599670410156, compile_time: 20.97274112701416, run_time: 2.8213937282562256, exec_time: 0.003064
write_cfg_time: 0.0002548694610595703, compile_time: 21.283440589904785, run_time: 6.1076226234436035, exec_time: 0.086422
write_cfg_time: 0.0001952648162841797, compile_time: 20.270978450775146, run_time: 11.307772636413574, exec_time: 0.005722
write_cfg_time: 0.00034117698669433594, compile_time: 19.469494581222534, run_time: 4.111576318740845, exec_time: 0.003307
write_cfg_time: 0.0003383159637451172, compile_time: 19.974339246749878, run_time: 7.738082408905029, exec_time: 0.003626
write_cfg_time: 0.00021004676818847656, compile_time: 19.959517002105713, run_time: 5.072340250015259, exec_time: 0.003444
write_cfg_time: 0.00026702880859375, compile_time: 19.559627056121826, run_time: 4.513864278793335, exec_time: 0.003513
write_cfg_time: 0.0003190040588378906, compile_time: 20.645830154418945, run_time: 2.853693723678589, exec_time: 0.003417
write_cfg_time: 0.0002071857452392578, compile_time: 20.336130619049072, run_time: 5.50235652923584, exec_time: 0.003102
write_cfg_time: 0.00020623207092285156, compile_time: 20.329494953155518, run_time: 3.9776556491851807, exec_time: 0.003706
write_cfg_time: 0.0002963542938232422, compile_time: 20.489774465560913, run_time: 3.222506046295166, exec_time: 0.004006
write_cfg_time: 0.00020456314086914062, compile_time: 19.4521427154541, run_time: 9.983268976211548, exec_time: 0.003009
write_cfg_time: 0.00019359588623046875, compile_time: 18.85145115852356, run_time: 10.464416742324829, exec_time: 0.005236
write_cfg_time: 0.0001876354217529297, compile_time: 20.970829725265503, run_time: 4.816698312759399, exec_time: 0.004547
write_cfg_time: 0.0003204345703125, compile_time: 19.42046022415161, run_time: 5.9128196239471436, exec_time: 0.00857
write_cfg_time: 0.00030684471130371094, compile_time: 20.030813932418823, run_time: 7.888042211532593, exec_time: 0.00337
write_cfg_time: 0.0002579689025878906, compile_time: 19.649155378341675, run_time: 0.510084867477417, exec_time: 0.003128
write_cfg_time: 0.00019288063049316406, compile_time: 20.387075901031494, run_time: 6.987077713012695, exec_time: 0.140985
write_cfg_time: 0.00030803680419921875, compile_time: 19.748810052871704, run_time: 10.303099155426025, exec_time: 0.005513
