write_cfg_time: 0.0001876354217529297, compile_time: 21.312577486038208, run_time: 4.5478835105896, exec_time: 0.004139
write_cfg_time: 0.0002167224884033203, compile_time: 20.2663733959198, run_time: 4.394313097000122, exec_time: 0.002946
write_cfg_time: 0.00026702880859375, compile_time: 20.884581565856934, run_time: 2.8192811012268066, exec_time: 0.004164
write_cfg_time: 0.00022363662719726562, compile_time: 20.955409288406372, run_time: 2.3199870586395264, exec_time: 0.003261
write_cfg_time: 0.0003235340118408203, compile_time: 20.521430015563965, run_time: 1.034085988998413, exec_time: 0.003225
write_cfg_time: 0.0002384185791015625, compile_time: 20.417734146118164, run_time: 1.5018501281738281, exec_time: 0.00347
write_cfg_time: 0.00030112266540527344, compile_time: 19.928332090377808, run_time: 4.436500787734985, exec_time: 0.009238
write_cfg_time: 0.000274658203125, compile_time: 20.968291997909546, run_time: 1.3598096370697021, exec_time: 0.004396
write_cfg_time: 0.000209808349609375, compile_time: 19.708277702331543, run_time: 1.6771256923675537, exec_time: 0.003164
write_cfg_time: 0.00021600723266601562, compile_time: 19.85877752304077, run_time: 4.643693685531616, exec_time: 0.004174
write_cfg_time: 0.00020122528076171875, compile_time: 20.106133460998535, run_time: 6.908698081970215, exec_time: 0.003801
write_cfg_time: 0.00019550323486328125, compile_time: 19.96804976463318, run_time: 27.405935764312744, exec_time: 0.004573
write_cfg_time: 0.0003464221954345703, compile_time: 19.408516883850098, run_time: 19.47445559501648, exec_time: 0.003295
write_cfg_time: 0.0002651214599609375, compile_time: 19.302009105682373, run_time: 33.37863564491272, exec_time: 0.026441
write_cfg_time: 0.00026154518127441406, compile_time: 20.69748330116272, run_time: 31.722601652145386, exec_time: 2.98
write_cfg_time: 0.0002338886260986328, compile_time: 19.265818119049072, run_time: 67.78002882003784, exec_time: 0.143318
write_cfg_time: 0.0002491474151611328, compile_time: 19.47200322151184, run_time: 24.04184341430664, exec_time: 0.003874
write_cfg_time: 0.00024628639221191406, compile_time: 21.397231817245483, run_time: 23.89656400680542, exec_time: 0.071935
write_cfg_time: 0.0002422332763671875, compile_time: 20.995535135269165, run_time: 28.230886697769165, exec_time: 0.003885
write_cfg_time: 0.0003848075866699219, compile_time: 20.574020385742188, run_time: 33.191763401031494, exec_time: 3.04719
