all_time: 25.801719665527344, write_cfg_time: 0.0001895427703857422, compile_time: 20.584861278533936, run_time: 4.98010516166687, exec_time: 0.329021
all_time: 57.20278000831604, write_cfg_time: 0.0004191398620605469, compile_time: 41.52747702598572, run_time: 15.38220763206482, exec_time: 2.417511
all_time: 83.19840717315674, write_cfg_time: 0.0007207393646240234, compile_time: 60.92728137969971, run_time: 21.912139654159546, exec_time: 2.4565960000000002
all_time: 117.43074297904968, write_cfg_time: 0.0010199546813964844, compile_time: 80.49183177947998, run_time: 36.562124729156494, exec_time: 5.546496
all_time: 157.73307752609253, write_cfg_time: 0.0012078285217285156, compile_time: 100.48623585700989, run_time: 56.76398181915283, exec_time: 9.590095999999999
all_time: 191.01495242118835, write_cfg_time: 0.0014376640319824219, compile_time: 120.93366169929504, run_time: 69.48430228233337, exec_time: 10.138803999999999
all_time: 213.00036525726318, write_cfg_time: 0.0016512870788574219, compile_time: 140.66908311843872, run_time: 71.64186096191406, exec_time: 10.148070999999998
all_time: 236.0720410346985, write_cfg_time: 0.001861572265625, compile_time: 160.91192865371704, run_time: 74.40493249893188, exec_time: 10.213471999999998
all_time: 274.3808786869049, write_cfg_time: 0.0021140575408935547, compile_time: 181.69130110740662, run_time: 91.86203980445862, exec_time: 12.300101999999997
all_time: 302.77495408058167, write_cfg_time: 0.002526521682739258, compile_time: 202.31467032432556, run_time: 99.59027743339539, exec_time: 13.824101999999996
all_time: 332.2977602481842, write_cfg_time: 0.0027451515197753906, compile_time: 222.3387942314148, run_time: 109.02734422683716, exec_time: 15.727841999999995
all_time: 360.18220496177673, write_cfg_time: 0.003093719482421875, compile_time: 242.7458164691925, run_time: 116.45530986785889, exec_time: 16.886681999999997
all_time: 388.2052924633026, write_cfg_time: 0.0034787654876708984, compile_time: 263.3193187713623, run_time: 123.88394117355347, exec_time: 17.266536
all_time: 410.7432551383972, write_cfg_time: 0.003916263580322266, compile_time: 283.9966073036194, run_time: 125.69751954078674, exec_time: 17.275779
all_time: 435.17015194892883, write_cfg_time: 0.004182338714599609, compile_time: 305.08003878593445, run_time: 128.99319553375244, exec_time: 17.374612
all_time: 457.77846217155457, write_cfg_time: 0.0045473575592041016, compile_time: 325.38792848587036, run_time: 131.21852278709412, exec_time: 17.519952
all_time: 482.05019307136536, write_cfg_time: 0.004895210266113281, compile_time: 345.6728208065033, run_time: 135.18410420417786, exec_time: 17.555339
