write_cfg_time: 0.0001895427703857422, compile_time: 20.584861278533936, run_time: 4.98010516166687, exec_time: 0.329021
write_cfg_time: 0.0002295970916748047, compile_time: 20.942615747451782, run_time: 10.40210247039795, exec_time: 2.08849
write_cfg_time: 0.00030159950256347656, compile_time: 19.39980435371399, run_time: 6.529932022094727, exec_time: 0.039085
write_cfg_time: 0.00029921531677246094, compile_time: 19.564550399780273, run_time: 14.649985074996948, exec_time: 3.0899
write_cfg_time: 0.00018787384033203125, compile_time: 19.994404077529907, run_time: 20.201857089996338, exec_time: 4.0436
write_cfg_time: 0.00022983551025390625, compile_time: 20.447425842285156, run_time: 12.720320463180542, exec_time: 0.548708
write_cfg_time: 0.000213623046875, compile_time: 19.735421419143677, run_time: 2.1575586795806885, exec_time: 0.009267
write_cfg_time: 0.00021028518676757812, compile_time: 20.24284553527832, run_time: 2.7630715370178223, exec_time: 0.065401
write_cfg_time: 0.0002524852752685547, compile_time: 20.779372453689575, run_time: 17.457107305526733, exec_time: 2.08663
write_cfg_time: 0.0004124641418457031, compile_time: 20.623369216918945, run_time: 7.728237628936768, exec_time: 1.524
write_cfg_time: 0.0002186298370361328, compile_time: 20.024123907089233, run_time: 9.437066793441772, exec_time: 1.90374
write_cfg_time: 0.0003485679626464844, compile_time: 20.40702223777771, run_time: 7.4279656410217285, exec_time: 1.15884
write_cfg_time: 0.00038504600524902344, compile_time: 20.5735023021698, run_time: 7.42863130569458, exec_time: 0.379854
write_cfg_time: 0.0004374980926513672, compile_time: 20.67728853225708, run_time: 1.8135783672332764, exec_time: 0.009243
write_cfg_time: 0.00026607513427734375, compile_time: 21.083431482315063, run_time: 3.2956759929656982, exec_time: 0.098833
write_cfg_time: 0.0003650188446044922, compile_time: 20.307889699935913, run_time: 2.225327253341675, exec_time: 0.14534
write_cfg_time: 0.0003478527069091797, compile_time: 20.284892320632935, run_time: 3.9655814170837402, exec_time: 0.035387
write_cfg_time: 0.0003924369812011719, compile_time: 19.597782373428345, run_time: 7.149228811264038, exec_time: 0.975951
write_cfg_time: 0.00021886825561523438, compile_time: 19.858133554458618, run_time: 7.251479864120483, exec_time: 1.348
write_cfg_time: 0.00038743019104003906, compile_time: 20.90525984764099, run_time: 16.63653039932251, exec_time: 3.7
write_cfg_time: 0.00031757354736328125, compile_time: 18.811078310012817, run_time: 10.719045400619507, exec_time: 2.28688
write_cfg_time: 0.00021314620971679688, compile_time: 19.344605445861816, run_time: 6.1283838748931885, exec_time: 1.144
write_cfg_time: 0.00032067298889160156, compile_time: 19.99368906021118, run_time: 8.920546770095825, exec_time: 1.60469
