write_cfg_time: 0.00020837783813476562, compile_time: 19.66361975669861, run_time: 16.7020206451416, exec_time: 3.77574
write_cfg_time: 0.0002906322479248047, compile_time: 19.570443391799927, run_time: 11.541524648666382, exec_time: 2.49195
write_cfg_time: 0.0002505779266357422, compile_time: 20.085045099258423, run_time: 15.072247743606567, exec_time: 3.34367
write_cfg_time: 0.00025200843811035156, compile_time: 19.020065784454346, run_time: 9.171738386154175, exec_time: 1.868
write_cfg_time: 0.00023937225341796875, compile_time: 19.254862546920776, run_time: 11.12599229812622, exec_time: 2.39175
write_cfg_time: 0.0002911090850830078, compile_time: 19.31088638305664, run_time: 11.171356439590454, exec_time: 2.38768
write_cfg_time: 0.00021266937255859375, compile_time: 20.464911699295044, run_time: 19.93024253845215, exec_time: 4.57573
write_cfg_time: 0.00022935867309570312, compile_time: 20.80311918258667, run_time: 11.161168098449707, exec_time: 2.37249
write_cfg_time: 0.0001857280731201172, compile_time: 20.183314561843872, run_time: 13.87557578086853, exec_time: 3.08773
write_cfg_time: 0.0004076957702636719, compile_time: 20.152034044265747, run_time: 7.88893461227417, exec_time: 1.57565
write_cfg_time: 0.0002028942108154297, compile_time: 19.59105658531189, run_time: 9.409473896026611, exec_time: 1.956
write_cfg_time: 0.0001914501190185547, compile_time: 21.031450748443604, run_time: 17.786009311676025, exec_time: 4.03668
write_cfg_time: 0.0003883838653564453, compile_time: 20.46541476249695, run_time: 9.466207265853882, exec_time: 1.96657
write_cfg_time: 0.00030040740966796875, compile_time: 20.67446517944336, run_time: 10.19065523147583, exec_time: 2.15974
write_cfg_time: 0.00039386749267578125, compile_time: 19.032820463180542, run_time: 9.912379503250122, exec_time: 2.08015
write_cfg_time: 0.00021028518676757812, compile_time: 19.652202606201172, run_time: 10.053313732147217, exec_time: 2.11974
write_cfg_time: 0.0002090930938720703, compile_time: 19.176275968551636, run_time: 9.96024751663208, exec_time: 0.031878
write_cfg_time: 0.0003120899200439453, compile_time: 19.40438222885132, run_time: 21.97355008125305, exec_time: 4.70766
write_cfg_time: 0.00023889541625976562, compile_time: 20.198341608047485, run_time: 19.264400005340576, exec_time: 4.24369
write_cfg_time: 0.00033354759216308594, compile_time: 19.03893208503723, run_time: 17.4760799407959, exec_time: 3.97665
write_cfg_time: 0.0002608299255371094, compile_time: 21.06822919845581, run_time: 12.34842586517334, exec_time: 0.008804
write_cfg_time: 0.0002951622009277344, compile_time: 18.872058868408203, run_time: 17.691408157348633, exec_time: 1.18152
write_cfg_time: 0.0002989768981933594, compile_time: 20.174858570098877, run_time: 12.900627374649048, exec_time: 0.008307
write_cfg_time: 0.00021028518676757812, compile_time: 20.323874473571777, run_time: 15.249619007110596, exec_time: 3.38775
write_cfg_time: 0.0003528594970703125, compile_time: 19.87602972984314, run_time: 19.905905723571777, exec_time: 4.47973
write_cfg_time: 0.0004069805145263672, compile_time: 19.930946111679077, run_time: 18.071422815322876, exec_time: 4.08292
write_cfg_time: 0.00039124488830566406, compile_time: 19.249764919281006, run_time: 21.79816484451294, exec_time: 4.99595
write_cfg_time: 0.00024437904357910156, compile_time: 21.02367067337036, run_time: 10.320635318756104, exec_time: 0.032835
write_cfg_time: 0.0003516674041748047, compile_time: 20.081711292266846, run_time: 23.702075242996216, exec_time: 5.48411
write_cfg_time: 0.0004253387451171875, compile_time: 19.239620447158813, run_time: 22.94114637374878, exec_time: 4.78375
write_cfg_time: 0.00025081634521484375, compile_time: 20.47285008430481, run_time: 15.957288980484009, exec_time: 3.60775
write_cfg_time: 0.00024628639221191406, compile_time: 20.553295850753784, run_time: 17.05036497116089, exec_time: 3.84767
write_cfg_time: 0.00037550926208496094, compile_time: 19.653188228607178, run_time: 17.816457271575928, exec_time: 3.99974
write_cfg_time: 0.00041747093200683594, compile_time: 20.514636993408203, run_time: 16.507352113723755, exec_time: 3.70842
write_cfg_time: 0.0004229545593261719, compile_time: 19.81559944152832, run_time: 22.836628675460815, exec_time: 5.29172
write_cfg_time: 0.0002372264862060547, compile_time: 19.8206684589386, run_time: 17.574488401412964, exec_time: 3.88385
write_cfg_time: 0.0002930164337158203, compile_time: 21.64319086074829, run_time: 16.607827186584473, exec_time: 3.75988
write_cfg_time: 0.00030112266540527344, compile_time: 21.181047677993774, run_time: 20.500922203063965, exec_time: 4.61624
write_cfg_time: 0.0005185604095458984, compile_time: 20.794520616531372, run_time: 23.624972343444824, exec_time: 5.03572
write_cfg_time: 0.00023484230041503906, compile_time: 20.026410818099976, run_time: 15.971604824066162, exec_time: 3.56394
write_cfg_time: 0.0003857612609863281, compile_time: 19.100943326950073, run_time: 22.8598473072052, exec_time: 4.9835
write_cfg_time: 0.0003619194030761719, compile_time: 21.19167709350586, run_time: 37.61119794845581, exec_time: 9.00372
write_cfg_time: 0.00023508071899414062, compile_time: 20.389711380004883, run_time: 16.24692702293396, exec_time: 3.56429
write_cfg_time: 0.00029587745666503906, compile_time: 19.774545669555664, run_time: 5.344812631607056, exec_time: 0.008727
write_cfg_time: 0.0002579689025878906, compile_time: 20.276684999465942, run_time: 9.202988147735596, exec_time: 0.029355
write_cfg_time: 0.00024175643920898438, compile_time: 19.451818466186523, run_time: 16.26336646080017, exec_time: 3.65096
write_cfg_time: 0.00018143653869628906, compile_time: 19.24914836883545, run_time: 14.533505916595459, exec_time: 3.23159
write_cfg_time: 0.00020360946655273438, compile_time: 20.735873699188232, run_time: 4.432551383972168, exec_time: 0.009363
write_cfg_time: 0.00037288665771484375, compile_time: 19.916655778884888, run_time: 16.44947624206543, exec_time: 3.71999
write_cfg_time: 0.0002200603485107422, compile_time: 19.392988681793213, run_time: 2.824075698852539, exec_time: 0.008584
write_cfg_time: 0.00024271011352539062, compile_time: 19.23825216293335, run_time: 16.97482466697693, exec_time: 0.459426
write_cfg_time: 0.00019979476928710938, compile_time: 20.3279128074646, run_time: 16.344616413116455, exec_time: 3.64317
write_cfg_time: 0.0002067089080810547, compile_time: 20.27775239944458, run_time: 15.24988603591919, exec_time: 0.024793
write_cfg_time: 0.0002942085266113281, compile_time: 20.259278297424316, run_time: 15.039382219314575, exec_time: 0.010635
write_cfg_time: 0.0002846717834472656, compile_time: 19.349865913391113, run_time: 13.524314165115356, exec_time: 2.21795
