all_time: 62.044859647750854, write_cfg_time: 0.0002231597900390625, compile_time: 20.0284640789032, run_time: 40.52706456184387, exec_time: 3.06367
all_time: 135.3675343990326, write_cfg_time: 0.00057220458984375, compile_time: 40.5112247467041, run_time: 93.31063294410706, exec_time: 7.4072000000000005
all_time: 181.4080183506012, write_cfg_time: 0.0007903575897216797, compile_time: 60.68596529960632, run_time: 119.06735277175903, exec_time: 8.55242
all_time: 211.09920644760132, write_cfg_time: 0.0010743141174316406, compile_time: 79.51224708557129, run_time: 129.85479927062988, exec_time: 8.948455
all_time: 239.89186215400696, write_cfg_time: 0.0014214515686035156, compile_time: 98.46874213218689, run_time: 139.67110466957092, exec_time: 9.196482
all_time: 328.089483499527, write_cfg_time: 0.0016393661499023438, compile_time: 118.30080056190491, run_time: 207.92135095596313, exec_time: 14.810772
all_time: 381.041556596756, write_cfg_time: 0.0019712448120117188, compile_time: 138.78567242622375, run_time: 240.34148693084717, exec_time: 15.78928
all_time: 419.75500297546387, write_cfg_time: 0.0021941661834716797, compile_time: 160.27506613731384, run_time: 257.47246956825256, exec_time: 17.31667
all_time: 454.2492644786835, write_cfg_time: 0.002405405044555664, compile_time: 180.62640047073364, run_time: 271.5152428150177, exec_time: 18.43892
all_time: 487.0757517814636, write_cfg_time: 0.002662181854248047, compile_time: 200.34329676628113, run_time: 284.5580680370331, exec_time: 18.969489
all_time: 512.8697156906128, write_cfg_time: 0.002940654754638672, compile_time: 220.0156066417694, run_time: 290.55694556236267, exec_time: 19.261098999999998
all_time: 543.9720094203949, write_cfg_time: 0.0031783580780029297, compile_time: 239.28517317771912, run_time: 302.3119571208954, exec_time: 20.020625
all_time: 573.1720702648163, write_cfg_time: 0.003507375717163086, compile_time: 259.0526547431946, run_time: 311.68411231040955, exec_time: 20.263434999999998
all_time: 598.1604659557343, write_cfg_time: 0.0037631988525390625, compile_time: 278.46648931503296, run_time: 317.2071328163147, exec_time: 20.514587999999996
all_time: 629.5213539600372, write_cfg_time: 0.004076480865478516, compile_time: 297.57034969329834, run_time: 329.4177370071411, exec_time: 20.890655999999996
all_time: 656.2078912258148, write_cfg_time: 0.00441741943359375, compile_time: 318.01923847198486, run_time: 335.6057710647583, exec_time: 21.075414999999996
all_time: 682.6645224094391, write_cfg_time: 0.004663944244384766, compile_time: 337.9400656223297, run_time: 342.0958368778229, exec_time: 21.400888999999996
all_time: 712.1536118984222, write_cfg_time: 0.005143880844116211, compile_time: 358.1428008079529, run_time: 351.3277413845062, exec_time: 21.976608999999996
all_time: 737.677702665329, write_cfg_time: 0.0054814815521240234, compile_time: 378.48500084877014, run_time: 356.4882390499115, exec_time: 22.202615999999995
all_time: 771.6857388019562, write_cfg_time: 0.005720376968383789, compile_time: 398.81230998039246, run_time: 370.057612657547, exec_time: 22.528008999999994
all_time: 801.3692018985748, write_cfg_time: 0.006045341491699219, compile_time: 418.02013516426086, run_time: 380.4855332374573, exec_time: 22.838963999999994
all_time: 826.8169944286346, write_cfg_time: 0.006312370300292969, compile_time: 437.9644503593445, run_time: 385.93908429145813, exec_time: 23.063441999999995
