all_time: 32.483500480651855, write_cfg_time: 0.00018548965454101562, compile_time: 19.966267824172974, run_time: 11.075946569442749, exec_time: 0.931716
all_time: 102.94551706314087, write_cfg_time: 0.0003895759582519531, compile_time: 40.076295137405396, run_time: 61.26170825958252, exec_time: 4.879656
all_time: 160.5196499824524, write_cfg_time: 0.0007529258728027344, compile_time: 58.749656438827515, run_time: 100.10885238647461, exec_time: 8.495066
all_time: 206.37997579574585, write_cfg_time: 0.0009980201721191406, compile_time: 78.09478116035461, run_time: 126.51098036766052, exec_time: 10.906735999999999
all_time: 242.73963356018066, write_cfg_time: 0.0012874603271484375, compile_time: 97.96406245231628, run_time: 142.94465827941895, exec_time: 11.804422999999998
all_time: 327.07215118408203, write_cfg_time: 0.0015194416046142578, compile_time: 118.40802526473999, run_time: 206.7433249950409, exec_time: 12.072929999999998
all_time: 356.7960116863251, write_cfg_time: 0.002017498016357422, compile_time: 137.01471662521362, run_time: 217.7868013381958, exec_time: 12.995360999999997
all_time: 394.4479124546051, write_cfg_time: 0.00229644775390625, compile_time: 157.43511319160461, run_time: 234.9988100528717, exec_time: 14.539150999999997
all_time: 497.1478199958801, write_cfg_time: 0.002559661865234375, compile_time: 176.36355781555176, run_time: 318.6810667514801, exec_time: 22.099130999999996
all_time: 594.3045086860657, write_cfg_time: 0.0028846263885498047, compile_time: 195.03557515144348, run_time: 397.12586975097656, exec_time: 25.614170999999995
all_time: 698.2341969013214, write_cfg_time: 0.0031702518463134766, compile_time: 213.94377970695496, run_time: 482.11326909065247, exec_time: 33.766211
all_time: 788.016028881073, write_cfg_time: 0.0033707618713378906, compile_time: 233.74053525924683, run_time: 552.0186593532562, exec_time: 39.055791
all_time: 834.2256124019623, write_cfg_time: 0.0036766529083251953, compile_time: 253.5976779460907, run_time: 578.3055236339569, exec_time: 41.390321
all_time: 930.2796149253845, write_cfg_time: 0.003865480422973633, compile_time: 272.81685423851013, run_time: 655.0455877780914, exec_time: 46.818151
all_time: 972.356924533844, write_cfg_time: 0.004105567932128906, compile_time: 291.35582423210144, run_time: 678.4537882804871, exec_time: 48.970231
all_time: 1067.1009991168976, write_cfg_time: 0.004450321197509766, compile_time: 310.1615538597107, run_time: 754.3285069465637, exec_time: 49.985161
