write_cfg_time: 0.00018548965454101562, compile_time: 19.966267824172974, run_time: 11.075946569442749, exec_time: 0.931716
write_cfg_time: 0.0002040863037109375, compile_time: 20.110027313232422, run_time: 50.18576169013977, exec_time: 3.94794
write_cfg_time: 0.00036334991455078125, compile_time: 18.67336130142212, run_time: 38.84714412689209, exec_time: 3.61541
write_cfg_time: 0.00024509429931640625, compile_time: 19.3451247215271, run_time: 26.402127981185913, exec_time: 2.41167
write_cfg_time: 0.0002894401550292969, compile_time: 19.86928129196167, run_time: 16.433677911758423, exec_time: 0.897687
write_cfg_time: 0.0002319812774658203, compile_time: 20.443962812423706, run_time: 63.79866671562195, exec_time: 0.268507
write_cfg_time: 0.0004980564117431641, compile_time: 18.606691360473633, run_time: 11.043476343154907, exec_time: 0.922431
write_cfg_time: 0.0002789497375488281, compile_time: 20.42039656639099, run_time: 17.212008714675903, exec_time: 1.54379
write_cfg_time: 0.000263214111328125, compile_time: 18.928444623947144, run_time: 83.6822566986084, exec_time: 7.55998
write_cfg_time: 0.0003249645233154297, compile_time: 18.672017335891724, run_time: 78.44480299949646, exec_time: 3.51504
write_cfg_time: 0.0002856254577636719, compile_time: 18.908204555511475, run_time: 84.9873993396759, exec_time: 8.15204
write_cfg_time: 0.00020051002502441406, compile_time: 19.79675555229187, run_time: 69.90539026260376, exec_time: 5.28958
write_cfg_time: 0.0003058910369873047, compile_time: 19.857142686843872, run_time: 26.286864280700684, exec_time: 2.33453
write_cfg_time: 0.0001888275146484375, compile_time: 19.219176292419434, run_time: 76.74006414413452, exec_time: 5.42783
write_cfg_time: 0.00024008750915527344, compile_time: 18.53896999359131, run_time: 23.40820050239563, exec_time: 2.15208
write_cfg_time: 0.0003447532653808594, compile_time: 18.805729627609253, run_time: 75.87471866607666, exec_time: 1.01493
write_cfg_time: 0.0002903938293457031, compile_time: 19.793460607528687, run_time: 45.80481672286987, exec_time: 2.12186
write_cfg_time: 0.00024771690368652344, compile_time: 18.49388861656189, run_time: 77.85884261131287, exec_time: 7.48773
write_cfg_time: 0.0002307891845703125, compile_time: 20.31296157836914, run_time: 62.10281705856323, exec_time: 0.2895
write_cfg_time: 0.0001976490020751953, compile_time: 19.998634099960327, run_time: 84.81840443611145, exec_time: 8.19571
write_cfg_time: 0.0003275871276855469, compile_time: 19.890461206436157, run_time: 77.97491812705994, exec_time: 1.43192
write_cfg_time: 0.00029659271240234375, compile_time: 18.677161931991577, run_time: 38.717143535614014, exec_time: 3.62793
write_cfg_time: 0.00043320655822753906, compile_time: 18.629966020584106, run_time: 68.2372829914093, exec_time: 0.369365
write_cfg_time: 0.0001838207244873047, compile_time: 20.05913233757019, run_time: 79.78698635101318, exec_time: 4.65723
write_cfg_time: 0.0002067089080810547, compile_time: 20.09862756729126, run_time: 23.164323329925537, exec_time: 2.0957
write_cfg_time: 0.00021123886108398438, compile_time: 18.764713525772095, run_time: 70.88855528831482, exec_time: 4.01952
write_cfg_time: 0.0003457069396972656, compile_time: 18.839435815811157, run_time: 75.15925478935242, exec_time: 3.55451
write_cfg_time: 0.0005061626434326172, compile_time: 18.980592012405396, run_time: 80.84805083274841, exec_time: 2.92772
write_cfg_time: 0.0002262592315673828, compile_time: 19.77957272529602, run_time: 66.2038414478302, exec_time: 3.68551
write_cfg_time: 0.00026226043701171875, compile_time: 18.997531414031982, run_time: 84.7479829788208, exec_time: 8.212
write_cfg_time: 0.0003299713134765625, compile_time: 18.78534746170044, run_time: 81.56142783164978, exec_time: 6.51616
write_cfg_time: 0.0001876354217529297, compile_time: 18.610187292099, run_time: 84.9391417503357, exec_time: 8.20781
write_cfg_time: 0.0002493858337402344, compile_time: 20.28490447998047, run_time: 67.42852067947388, exec_time: 0.112363
write_cfg_time: 0.0002086162567138672, compile_time: 20.358044624328613, run_time: 55.655632734298706, exec_time: 0.13724
write_cfg_time: 0.000202178955078125, compile_time: 20.749439239501953, run_time: 47.70483350753784, exec_time: 0.140036
write_cfg_time: 0.00021529197692871094, compile_time: 19.878910541534424, run_time: 82.02256870269775, exec_time: 6.46772
write_cfg_time: 0.00032210350036621094, compile_time: 19.057586669921875, run_time: 71.82138752937317, exec_time: 4.62739
write_cfg_time: 0.00021910667419433594, compile_time: 18.859431505203247, run_time: 67.9533793926239, exec_time: 3.13972
write_cfg_time: 0.00019025802612304688, compile_time: 19.76513695716858, run_time: 84.49031686782837, exec_time: 8.12358
write_cfg_time: 0.00035071372985839844, compile_time: 19.09084677696228, run_time: 45.64050889015198, exec_time: 0.149043
write_cfg_time: 0.00034332275390625, compile_time: 18.798495292663574, run_time: 63.37470507621765, exec_time: 2.28347
write_cfg_time: 0.0001838207244873047, compile_time: 18.899898767471313, run_time: 80.0799629688263, exec_time: 7.73173
write_cfg_time: 0.00018453598022460938, compile_time: 19.877204656600952, run_time: 58.360822916030884, exec_time: 0.15791
write_cfg_time: 0.0002980232238769531, compile_time: 19.636085033416748, run_time: 66.92530679702759, exec_time: 1.91712
write_cfg_time: 0.0001888275146484375, compile_time: 18.720463752746582, run_time: 66.65848064422607, exec_time: 2.73685
write_cfg_time: 0.0002982616424560547, compile_time: 19.66996932029724, run_time: 64.48297500610352, exec_time: 2.54425
write_cfg_time: 0.0002837181091308594, compile_time: 19.884665489196777, run_time: 45.020968437194824, exec_time: 4.20387
write_cfg_time: 0.00032806396484375, compile_time: 19.676703214645386, run_time: 44.321412563323975, exec_time: 3.51969
write_cfg_time: 0.00023627281188964844, compile_time: 20.83251976966858, run_time: 79.25909614562988, exec_time: 4.66369
write_cfg_time: 0.0004661083221435547, compile_time: 19.69263792037964, run_time: 58.64288401603699, exec_time: 1.06689
write_cfg_time: 0.0001857280731201172, compile_time: 18.528472900390625, run_time: 57.827268838882446, exec_time: 0.195749
write_cfg_time: 0.00048279762268066406, compile_time: 18.8584463596344, run_time: 78.59531378746033, exec_time: 7.63978
write_cfg_time: 0.0002510547637939453, compile_time: 19.774528741836548, run_time: 71.5654559135437, exec_time: 2.30834
write_cfg_time: 0.00021219253540039062, compile_time: 19.251280546188354, run_time: 35.79506778717041, exec_time: 3.34395
write_cfg_time: 0.00022554397583007812, compile_time: 20.34976887702942, run_time: 54.002177476882935, exec_time: 5.16392
write_cfg_time: 0.0003151893615722656, compile_time: 19.79068946838379, run_time: 39.08148956298828, exec_time: 3.70851
write_cfg_time: 0.0001900196075439453, compile_time: 19.931517601013184, run_time: 81.50937390327454, exec_time: 7.86363
write_cfg_time: 0.000217437744140625, compile_time: 19.28714084625244, run_time: 72.0514223575592, exec_time: 0.220167
write_cfg_time: 0.0003018379211425781, compile_time: 19.74340581893921, run_time: 78.44765520095825, exec_time: 7.45471
write_cfg_time: 0.00023293495178222656, compile_time: 19.064934730529785, run_time: 74.8678183555603, exec_time: 4.15962
write_cfg_time: 0.00022792816162109375, compile_time: 19.730060815811157, run_time: 7.925804138183594, exec_time: 0.631678
write_cfg_time: 0.0003399848937988281, compile_time: 20.80715012550354, run_time: 74.95287537574768, exec_time: 3.54505
write_cfg_time: 0.00045990943908691406, compile_time: 20.088972330093384, run_time: 22.74828314781189, exec_time: 0.4324
write_cfg_time: 0.0002474784851074219, compile_time: 19.86084818840027, run_time: 38.87874150276184, exec_time: 3.62546
write_cfg_time: 0.00030112266540527344, compile_time: 19.878119230270386, run_time: 63.198108434677124, exec_time: 0.712221
write_cfg_time: 0.00021648406982421875, compile_time: 20.275195598602295, run_time: 81.23931360244751, exec_time: 7.85175
write_cfg_time: 0.00034499168395996094, compile_time: 20.307892560958862, run_time: 81.37742757797241, exec_time: 7.85906
write_cfg_time: 0.0003752708435058594, compile_time: 20.138139009475708, run_time: 77.5254716873169, exec_time: 7.54764
write_cfg_time: 0.00023651123046875, compile_time: 20.088327884674072, run_time: 66.04795622825623, exec_time: 0.938912
write_cfg_time: 0.0002105236053466797, compile_time: 19.743916988372803, run_time: 76.6771514415741, exec_time: 6.36376
write_cfg_time: 0.0003399848937988281, compile_time: 19.184025764465332, run_time: 79.98013758659363, exec_time: 7.73951
