write_cfg_time: 0.0002524852752685547, compile_time: 20.4426589012146, run_time: 0.2971954345703125, exec_time: 0.014753
write_cfg_time: 0.00022792816162109375, compile_time: 19.196489095687866, run_time: 6.87978982925415, exec_time: 0.045722
write_cfg_time: 0.00026535987854003906, compile_time: 20.415873527526855, run_time: 12.96260404586792, exec_time: 0.032695
write_cfg_time: 0.00023818016052246094, compile_time: 20.259761095046997, run_time: 22.445775032043457, exec_time: 0.023693
write_cfg_time: 0.00029349327087402344, compile_time: 20.488434553146362, run_time: 33.940529584884644, exec_time: 5.25999
write_cfg_time: 0.00020694732666015625, compile_time: 20.9064884185791, run_time: 47.74018692970276, exec_time: 9.17161
write_cfg_time: 0.00023031234741210938, compile_time: 19.789599180221558, run_time: 20.303584337234497, exec_time: 3.71595
write_cfg_time: 0.00020432472229003906, compile_time: 19.016168355941772, run_time: 8.545698165893555, exec_time: 0.031044
write_cfg_time: 0.0002110004425048828, compile_time: 20.75299072265625, run_time: 1.5827155113220215, exec_time: 0.010964
write_cfg_time: 0.00030994415283203125, compile_time: 19.386441469192505, run_time: 3.3304176330566406, exec_time: 0.012829
write_cfg_time: 0.0002129077911376953, compile_time: 19.351479053497314, run_time: 3.3784000873565674, exec_time: 0.032625
write_cfg_time: 0.0002586841583251953, compile_time: 20.037467002868652, run_time: 5.290387868881226, exec_time: 0.013329
write_cfg_time: 0.0002562999725341797, compile_time: 19.667256116867065, run_time: 9.311616897583008, exec_time: 0.013042
write_cfg_time: 0.0002288818359375, compile_time: 20.101158618927002, run_time: 3.2796666622161865, exec_time: 0.021459
write_cfg_time: 0.0003247261047363281, compile_time: 20.37299919128418, run_time: 2.977104902267456, exec_time: 0.018562
write_cfg_time: 0.0002219676971435547, compile_time: 18.556387662887573, run_time: 14.300851583480835, exec_time: 0.031283
write_cfg_time: 0.00019216537475585938, compile_time: 20.591114282608032, run_time: 33.32971978187561, exec_time: 0.060333
write_cfg_time: 0.0003256797790527344, compile_time: 19.679060220718384, run_time: 35.44776129722595, exec_time: 6.61279
write_cfg_time: 0.00032711029052734375, compile_time: 19.278647422790527, run_time: 2.752345561981201, exec_time: 0.011533
write_cfg_time: 0.00022268295288085938, compile_time: 20.188650608062744, run_time: 4.705667018890381, exec_time: 0.013256
write_cfg_time: 0.0002734661102294922, compile_time: 19.90681552886963, run_time: 3.734431266784668, exec_time: 0.019586
write_cfg_time: 0.00032067298889160156, compile_time: 21.048774242401123, run_time: 21.17967915534973, exec_time: 0.049292
write_cfg_time: 0.0003662109375, compile_time: 18.986828088760376, run_time: 9.487512588500977, exec_time: 0.015691
write_cfg_time: 0.00027251243591308594, compile_time: 19.5555899143219, run_time: 5.422144651412964, exec_time: 0.035045
write_cfg_time: 0.0002665519714355469, compile_time: 20.0894558429718, run_time: 3.11102032661438, exec_time: 0.01264
write_cfg_time: 0.0002224445343017578, compile_time: 19.872998237609863, run_time: 6.3483898639678955, exec_time: 0.01836
write_cfg_time: 0.00020122528076171875, compile_time: 20.380032539367676, run_time: 5.8951427936553955, exec_time: 0.03848
write_cfg_time: 0.00031948089599609375, compile_time: 19.49066400527954, run_time: 7.063651084899902, exec_time: 0.010244
write_cfg_time: 0.00035858154296875, compile_time: 19.0270574092865, run_time: 3.7532196044921875, exec_time: 0.015009
write_cfg_time: 0.0002067089080810547, compile_time: 20.204407453536987, run_time: 6.730847358703613, exec_time: 0.03011
write_cfg_time: 0.0003211498260498047, compile_time: 19.122395992279053, run_time: 16.80333638191223, exec_time: 0.011171
write_cfg_time: 0.0002613067626953125, compile_time: 20.442478895187378, run_time: 44.75547981262207, exec_time: 8.644
write_cfg_time: 0.00023794174194335938, compile_time: 18.65420651435852, run_time: 25.688912630081177, exec_time: 0.027604
write_cfg_time: 0.00045871734619140625, compile_time: 18.92448925971985, run_time: 9.636875867843628, exec_time: 0.011088
write_cfg_time: 0.00025343894958496094, compile_time: 18.59035634994507, run_time: 5.918941020965576, exec_time: 0.026619
write_cfg_time: 0.0002090930938720703, compile_time: 19.731471300125122, run_time: 10.898969411849976, exec_time: 0.0329
