all_time: 85.19361472129822, write_cfg_time: 0.00024366378784179688, compile_time: 20.32295036315918, run_time: 63.06957697868347, exec_time: 12.196
all_time: 118.35246658325195, write_cfg_time: 0.0004749298095703125, compile_time: 39.339659214019775, run_time: 77.12317490577698, exec_time: 12.230929999999999
all_time: 143.05430603027344, write_cfg_time: 0.0007023811340332031, compile_time: 58.11763882637024, run_time: 82.92219138145447, exec_time: 12.250782999999998
all_time: 216.2094976902008, write_cfg_time: 0.0009396076202392578, compile_time: 76.98838996887207, run_time: 137.17993712425232, exec_time: 15.336762999999998
all_time: 276.53649830818176, write_cfg_time: 0.001157999038696289, compile_time: 97.24693512916565, run_time: 177.12740969657898, exec_time: 18.486822999999998
all_time: 328.4059076309204, write_cfg_time: 0.001592397689819336, compile_time: 117.86827778816223, run_time: 208.32860016822815, exec_time: 18.537363999999997
all_time: 365.7233531475067, write_cfg_time: 0.0019805431365966797, compile_time: 137.41063499450684, run_time: 226.05392956733704, exec_time: 18.591141999999998
all_time: 427.09339213371277, write_cfg_time: 0.0022110939025878906, compile_time: 156.16648626327515, run_time: 268.530478477478, exec_time: 18.629343999999996
all_time: 457.4316873550415, write_cfg_time: 0.002428293228149414, compile_time: 175.44963693618774, run_time: 279.4813652038574, exec_time: 18.661772999999997
all_time: 482.25962686538696, write_cfg_time: 0.002725839614868164, compile_time: 195.20787596702576, run_time: 284.4993226528168, exec_time: 18.704229999999995
all_time: 542.6387386322021, write_cfg_time: 0.002959728240966797, compile_time: 215.25036096572876, run_time: 324.7794861793518, exec_time: 19.882009999999994
all_time: 608.5869154930115, write_cfg_time: 0.003223896026611328, compile_time: 234.31520247459412, run_time: 371.6070554256439, exec_time: 19.917326999999993
all_time: 637.9784376621246, write_cfg_time: 0.003432035446166992, compile_time: 253.1713650226593, run_time: 382.0440366268158, exec_time: 19.949270999999992
all_time: 668.0856943130493, write_cfg_time: 0.0036585330963134766, compile_time: 273.5521550178528, run_time: 391.7423942089081, exec_time: 19.979560999999993
all_time: 705.6511175632477, write_cfg_time: 0.004000425338745117, compile_time: 294.0839293003082, run_time: 408.68790102005005, exec_time: 22.974600999999993
all_time: 762.9432446956635, write_cfg_time: 0.004274606704711914, compile_time: 313.81477975845337, run_time: 446.15577507019043, exec_time: 23.011977999999992
all_time: 789.0266237258911, write_cfg_time: 0.004599094390869141, compile_time: 333.81080317497253, run_time: 452.17704820632935, exec_time: 23.101580999999992
all_time: 849.0025706291199, write_cfg_time: 0.004911661148071289, compile_time: 354.5495102405548, run_time: 491.3943998813629, exec_time: 23.134987999999993
all_time: 926.2747654914856, write_cfg_time: 0.005175352096557617, compile_time: 374.6539931297302, run_time: 548.4249262809753, exec_time: 34.178287999999995
all_time: 957.6183483600616, write_cfg_time: 0.0053899288177490234, compile_time: 394.43194007873535, run_time: 559.9394721984863, exec_time: 34.20091899999999
all_time: 1037.527021408081, write_cfg_time: 0.005614042282104492, compile_time: 414.71376872062683, run_time: 619.4768953323364, exec_time: 45.70061899999999
all_time: 1082.8327004909515, write_cfg_time: 0.005825042724609375, compile_time: 433.744731426239, run_time: 645.693779706955, exec_time: 50.57657899999999
all_time: 1118.9531526565552, write_cfg_time: 0.006078004837036133, compile_time: 453.5642478466034, run_time: 661.9274303913116, exec_time: 50.627436999999986
all_time: 1177.2996804714203, write_cfg_time: 0.006402492523193359, compile_time: 472.64650106430054, run_time: 701.1246733665466, exec_time: 50.781854999999986
all_time: 1246.430927991867, write_cfg_time: 0.006732463836669922, compile_time: 493.45240664482117, run_time: 749.3778324127197, exec_time: 51.20988099999999
all_time: 1281.2096645832062, write_cfg_time: 0.007096529006958008, compile_time: 512.3348104953766, run_time: 765.15513920784, exec_time: 51.23004799999999
all_time: 1328.9578020572662, write_cfg_time: 0.007324934005737305, compile_time: 533.0489976406097, run_time: 792.0255825519562, exec_time: 51.26897799999999
all_time: 1364.3280982971191, write_cfg_time: 0.007569551467895508, compile_time: 551.6663417816162, run_time: 808.6243960857391, exec_time: 53.21922799999999
all_time: 1413.9837021827698, write_cfg_time: 0.007900476455688477, compile_time: 571.9450922012329, run_time: 837.9494154453278, exec_time: 53.251004999999985
all_time: 1462.642567873001, write_cfg_time: 0.008301019668579102, compile_time: 590.8982446193695, run_time: 867.5775701999664, exec_time: 53.30073299999999
all_time: 1522.3588337898254, write_cfg_time: 0.008483171463012695, compile_time: 610.1041133403778, run_time: 907.9814262390137, exec_time: 53.40555999999999
all_time: 1562.7488417625427, write_cfg_time: 0.008718490600585938, compile_time: 629.2397072315216, run_time: 929.0913634300232, exec_time: 53.43216599999999
all_time: 1597.3703396320343, write_cfg_time: 0.008980274200439453, compile_time: 648.18976521492, run_time: 944.6383423805237, exec_time: 53.46048399999999
