all_time: 38.40946626663208, write_cfg_time: 0.00020503997802734375, compile_time: 19.342049598693848, run_time: 18.85025382041931, exec_time: 3.0035
all_time: 78.42618060112, write_cfg_time: 0.0004062652587890625, compile_time: 39.70786261558533, run_time: 38.391337156295776, exec_time: 6.01106
all_time: 119.20683717727661, write_cfg_time: 0.0007250308990478516, compile_time: 58.59802556037903, run_time: 60.23186254501343, exec_time: 9.91497
all_time: 154.78139996528625, write_cfg_time: 0.001004934310913086, compile_time: 79.06901335716248, run_time: 75.27358078956604, exec_time: 10.119795
all_time: 181.70240211486816, write_cfg_time: 0.0011968612670898438, compile_time: 98.77588200569153, run_time: 82.41032838821411, exec_time: 10.316255
all_time: 214.78751730918884, write_cfg_time: 0.0014488697052001953, compile_time: 120.29805898666382, run_time: 93.9294900894165, exec_time: 10.607101
all_time: 244.95266604423523, write_cfg_time: 0.0016508102416992188, compile_time: 139.84465193748474, run_time: 104.4444739818573, exec_time: 11.383184
all_time: 268.3406810760498, write_cfg_time: 0.0018439292907714844, compile_time: 159.0200936794281, run_time: 108.52698421478271, exec_time: 11.516368
all_time: 297.77774238586426, write_cfg_time: 0.0022013187408447266, compile_time: 179.92269229888916, run_time: 117.042245388031, exec_time: 11.524286
all_time: 327.0895643234253, write_cfg_time: 0.0024213790893554688, compile_time: 200.45026445388794, run_time: 125.75315284729004, exec_time: 11.586986
all_time: 351.787944316864, write_cfg_time: 0.002697467803955078, compile_time: 220.13520622253418, run_time: 130.73850989341736, exec_time: 11.677793
all_time: 376.86007285118103, write_cfg_time: 0.002935647964477539, compile_time: 240.89374828338623, run_time: 134.96260499954224, exec_time: 11.688125999999999
all_time: 402.89729022979736, write_cfg_time: 0.003285646438598633, compile_time: 261.3691174983978, run_time: 140.50412130355835, exec_time: 11.695293999999999
all_time: 434.12011551856995, write_cfg_time: 0.003588438034057617, compile_time: 281.4240634441376, run_time: 151.61156511306763, exec_time: 12.676290999999999
all_time: 458.6508421897888, write_cfg_time: 0.0038797855377197266, compile_time: 302.35530519485474, run_time: 155.16969323158264, exec_time: 12.684322
all_time: 480.36138010025024, write_cfg_time: 0.004121541976928711, compile_time: 322.48935770988464, run_time: 156.7018165588379, exec_time: 12.707074
all_time: 505.92683577537537, write_cfg_time: 0.004352092742919922, compile_time: 343.21446776390076, run_time: 161.48077368736267, exec_time: 12.767447
all_time: 539.2098369598389, write_cfg_time: 0.004560947418212891, compile_time: 363.9309961795807, run_time: 173.99517130851746, exec_time: 13.077853000000001
all_time: 566.6774592399597, write_cfg_time: 0.004950284957885742, compile_time: 384.81657242774963, run_time: 180.5173716545105, exec_time: 13.647115000000001
all_time: 596.7553193569183, write_cfg_time: 0.00520014762878418, compile_time: 407.5498595237732, run_time: 187.81396317481995, exec_time: 13.970327000000001
all_time: 620.3043465614319, write_cfg_time: 0.005456209182739258, compile_time: 427.6468117237091, run_time: 191.19674491882324, exec_time: 13.978286
all_time: 650.0649735927582, write_cfg_time: 0.00569605827331543, compile_time: 447.08904099464417, run_time: 201.46497297286987, exec_time: 14.009870000000001
all_time: 686.5675649642944, write_cfg_time: 0.0061414241790771484, compile_time: 467.8858001232147, run_time: 216.18812799453735, exec_time: 14.214638
all_time: 730.5692720413208, write_cfg_time: 0.006554126739501953, compile_time: 487.92364621162415, run_time: 240.1018385887146, exec_time: 14.68748
all_time: 766.4185748100281, write_cfg_time: 0.0067980289459228516, compile_time: 507.5062234401703, run_time: 256.28841400146484, exec_time: 15.287383
all_time: 793.4505462646484, write_cfg_time: 0.007027387619018555, compile_time: 527.4335525035858, run_time: 263.3440968990326, exec_time: 15.321814
all_time: 820.0559923648834, write_cfg_time: 0.007259368896484375, compile_time: 547.2414789199829, run_time: 270.02341175079346, exec_time: 15.630742999999999
all_time: 869.2051301002502, write_cfg_time: 0.007486581802368164, compile_time: 567.2920684814453, run_time: 298.8514699935913, exec_time: 20.026303
all_time: 908.7548182010651, write_cfg_time: 0.0077173709869384766, compile_time: 586.7610614299774, run_time: 318.87012457847595, exec_time: 22.774352999999998
all_time: 940.2564671039581, write_cfg_time: 0.007968664169311523, compile_time: 607.3718485832214, run_time: 329.7185859680176, exec_time: 23.091412
all_time: 968.3533878326416, write_cfg_time: 0.0081787109375, compile_time: 627.2905721664429, run_time: 337.8076949119568, exec_time: 23.13769
all_time: 1002.8926031589508, write_cfg_time: 0.008401870727539062, compile_time: 648.6228206157684, run_time: 350.98422408103943, exec_time: 24.84209
all_time: 1030.855800151825, write_cfg_time: 0.00860452651977539, compile_time: 668.688410282135, run_time: 358.7712962627411, exec_time: 25.046049
all_time: 1062.428659915924, write_cfg_time: 0.008930444717407227, compile_time: 688.7171113491058, run_time: 370.2956712245941, exec_time: 25.095863
