write_cfg_time: 0.00022745132446289062, compile_time: 21.05629849433899, run_time: 34.31152820587158, exec_time: 6.49992
write_cfg_time: 0.0002522468566894531, compile_time: 22.05694079399109, run_time: 28.858673810958862, exec_time: 5.31514
write_cfg_time: 0.0002505779266357422, compile_time: 20.971102237701416, run_time: 28.7811017036438, exec_time: 5.34787
write_cfg_time: 0.00028252601623535156, compile_time: 19.789461612701416, run_time: 27.87715792655945, exec_time: 5.23201
write_cfg_time: 0.0002193450927734375, compile_time: 20.659051418304443, run_time: 27.109097003936768, exec_time: 5.01993
write_cfg_time: 0.00023746490478515625, compile_time: 20.120685815811157, run_time: 19.68077778816223, exec_time: 3.6062
write_cfg_time: 0.0003445148468017578, compile_time: 22.17190384864807, run_time: 29.415944814682007, exec_time: 5.53124
write_cfg_time: 0.00040984153747558594, compile_time: 21.731019258499146, run_time: 27.07438325881958, exec_time: 5.03195
write_cfg_time: 0.00020384788513183594, compile_time: 21.65829348564148, run_time: 18.098396062850952, exec_time: 3.296
write_cfg_time: 0.00021696090698242188, compile_time: 19.948127031326294, run_time: 26.959192752838135, exec_time: 5.03588
write_cfg_time: 0.00031495094299316406, compile_time: 19.378172397613525, run_time: 18.37115788459778, exec_time: 3.30063
write_cfg_time: 0.00021600723266601562, compile_time: 22.16765832901001, run_time: 30.39974093437195, exec_time: 5.71561
write_cfg_time: 0.00030684471130371094, compile_time: 19.70737600326538, run_time: 18.20901131629944, exec_time: 3.31987
write_cfg_time: 0.000308990478515625, compile_time: 19.535086393356323, run_time: 23.930704355239868, exec_time: 4.45532
write_cfg_time: 0.0005350112915039062, compile_time: 19.25578474998474, run_time: 13.880414962768555, exec_time: 2.45994
write_cfg_time: 0.00022172927856445312, compile_time: 19.609724044799805, run_time: 14.063329458236694, exec_time: 2.45966
write_cfg_time: 0.0003032684326171875, compile_time: 21.564220428466797, run_time: 17.285200595855713, exec_time: 3.12387
write_cfg_time: 0.0003104209899902344, compile_time: 20.74675726890564, run_time: 21.13006067276001, exec_time: 3.89924
write_cfg_time: 0.00020647048950195312, compile_time: 21.523560523986816, run_time: 18.841423749923706, exec_time: 3.39994
write_cfg_time: 0.00030803680419921875, compile_time: 19.419970750808716, run_time: 18.770660161972046, exec_time: 3.404
write_cfg_time: 0.00023055076599121094, compile_time: 19.65549397468567, run_time: 16.457039833068848, exec_time: 2.94787
write_cfg_time: 0.0002930164337158203, compile_time: 19.39375114440918, run_time: 13.931531429290771, exec_time: 2.47196
write_cfg_time: 0.0002276897430419922, compile_time: 21.727516889572144, run_time: 16.053688764572144, exec_time: 2.85587
write_cfg_time: 0.0002467632293701172, compile_time: 21.26780104637146, run_time: 54.905216217041016, exec_time: 10.5753
write_cfg_time: 0.00029587745666503906, compile_time: 21.421863317489624, run_time: 14.122114181518555, exec_time: 2.464
write_cfg_time: 0.0004508495330810547, compile_time: 20.446667671203613, run_time: 17.234758377075195, exec_time: 3.09587
write_cfg_time: 0.00024247169494628906, compile_time: 21.43347716331482, run_time: 16.30692481994629, exec_time: 2.92285
write_cfg_time: 0.00041484832763671875, compile_time: 20.038864612579346, run_time: 27.038527727127075, exec_time: 5.05194
write_cfg_time: 0.0001938343048095703, compile_time: 20.012560844421387, run_time: 15.630184650421143, exec_time: 2.80058
write_cfg_time: 0.00030994415283203125, compile_time: 21.24337148666382, run_time: 31.053500175476074, exec_time: 5.75194
write_cfg_time: 0.00039315223693847656, compile_time: 22.274433612823486, run_time: 13.727898120880127, exec_time: 2.42001
write_cfg_time: 0.0002493858337402344, compile_time: 21.07274556159973, run_time: 16.567948579788208, exec_time: 2.93195
write_cfg_time: 0.0003712177276611328, compile_time: 20.838316679000854, run_time: 35.187944412231445, exec_time: 6.63986
write_cfg_time: 0.0004241466522216797, compile_time: 20.724645376205444, run_time: 40.269932985305786, exec_time: 7.70379
write_cfg_time: 0.00021529197692871094, compile_time: 19.200461864471436, run_time: 13.750516653060913, exec_time: 2.42788
write_cfg_time: 0.00021314620971679688, compile_time: 21.064497232437134, run_time: 23.425904989242554, exec_time: 4.33999
write_cfg_time: 0.0010843276977539062, compile_time: 20.03527331352234, run_time: 13.814608573913574, exec_time: 2.43987
write_cfg_time: 0.0004353523254394531, compile_time: 19.325905323028564, run_time: 28.27999782562256, exec_time: 5.30389
write_cfg_time: 0.00022530555725097656, compile_time: 21.64208459854126, run_time: 9.217146873474121, exec_time: 1.49278
write_cfg_time: 0.00034928321838378906, compile_time: 21.439627647399902, run_time: 15.665281772613525, exec_time: 2.80789
write_cfg_time: 0.0003135204315185547, compile_time: 22.047866821289062, run_time: 9.16122055053711, exec_time: 1.504
write_cfg_time: 0.0003807544708251953, compile_time: 20.748201608657837, run_time: 16.229185104370117, exec_time: 2.9143
write_cfg_time: 0.0002799034118652344, compile_time: 19.975592136383057, run_time: 11.421820640563965, exec_time: 1.95201
write_cfg_time: 0.00021219253540039062, compile_time: 20.24616265296936, run_time: 16.452834606170654, exec_time: 2.956
write_cfg_time: 0.0003268718719482422, compile_time: 20.858417749404907, run_time: 11.404886484146118, exec_time: 1.96368
write_cfg_time: 0.00040340423583984375, compile_time: 20.98395586013794, run_time: 11.457395553588867, exec_time: 1.96076
write_cfg_time: 0.00022530555725097656, compile_time: 20.045013666152954, run_time: 9.164331674575806, exec_time: 1.50169
write_cfg_time: 0.0002307891845703125, compile_time: 21.236603498458862, run_time: 18.470537662506104, exec_time: 3.37194
write_cfg_time: 0.00022363662719726562, compile_time: 22.36012029647827, run_time: 16.55322813987732, exec_time: 2.95587
write_cfg_time: 0.0003180503845214844, compile_time: 20.433104038238525, run_time: 35.36772418022156, exec_time: 6.71665
write_cfg_time: 0.0002930164337158203, compile_time: 20.37592625617981, run_time: 8.975585460662842, exec_time: 1.48018
write_cfg_time: 0.0002224445343017578, compile_time: 20.788458108901978, run_time: 15.831605672836304, exec_time: 2.79188
write_cfg_time: 0.00024318695068359375, compile_time: 20.862894535064697, run_time: 59.71316838264465, exec_time: 11.5639
write_cfg_time: 0.0002014636993408203, compile_time: 20.878427982330322, run_time: 62.000609397888184, exec_time: 12.0119
write_cfg_time: 0.00018978118896484375, compile_time: 22.19175958633423, run_time: 54.56932520866394, exec_time: 10.5359
write_cfg_time: 0.00030517578125, compile_time: 21.595263957977295, run_time: 35.57967567443848, exec_time: 6.7913
write_cfg_time: 0.0002720355987548828, compile_time: 20.259663820266724, run_time: 9.04369592666626, exec_time: 1.49663
write_cfg_time: 0.00024080276489257812, compile_time: 19.994940280914307, run_time: 47.8009033203125, exec_time: 9.23194
write_cfg_time: 0.00023698806762695312, compile_time: 18.930814027786255, run_time: 11.357763051986694, exec_time: 1.92395
write_cfg_time: 0.0002186298370361328, compile_time: 21.26649236679077, run_time: 16.532083988189697, exec_time: 2.95988
write_cfg_time: 0.00023031234741210938, compile_time: 19.75456929206848, run_time: 8.992982864379883, exec_time: 1.48867
write_cfg_time: 0.0002875328063964844, compile_time: 20.873716115951538, run_time: 9.214824914932251, exec_time: 1.49987
write_cfg_time: 0.000316619873046875, compile_time: 20.58547043800354, run_time: 11.398123502731323, exec_time: 1.95995
write_cfg_time: 0.00018978118896484375, compile_time: 20.762890100479126, run_time: 9.016800165176392, exec_time: 1.46725
write_cfg_time: 0.00030350685119628906, compile_time: 19.767724752426147, run_time: 9.034320831298828, exec_time: 1.47559
write_cfg_time: 0.00032830238342285156, compile_time: 19.869542360305786, run_time: 8.999743461608887, exec_time: 1.49594
write_cfg_time: 0.00021576881408691406, compile_time: 21.497142791748047, run_time: 64.59163022041321, exec_time: 12.5159
write_cfg_time: 0.00023221969604492188, compile_time: 19.66773295402527, run_time: 21.124249696731567, exec_time: 3.88394
write_cfg_time: 0.0002913475036621094, compile_time: 19.865735054016113, run_time: 9.02001166343689, exec_time: 1.48387
write_cfg_time: 0.0003218650817871094, compile_time: 21.08486819267273, run_time: 11.343329668045044, exec_time: 1.93989
write_cfg_time: 0.00021529197692871094, compile_time: 19.99739122390747, run_time: 60.42893886566162, exec_time: 11.616
write_cfg_time: 0.00026726722717285156, compile_time: 20.438180685043335, run_time: 13.78610873222351, exec_time: 2.44388
write_cfg_time: 0.00019812583923339844, compile_time: 19.60854411125183, run_time: 15.82472014427185, exec_time: 2.78784
write_cfg_time: 0.00025534629821777344, compile_time: 21.127222537994385, run_time: 38.31928324699402, exec_time: 7.29921
write_cfg_time: 0.00019359588623046875, compile_time: 19.860321283340454, run_time: 9.061969757080078, exec_time: 1.48394
write_cfg_time: 0.0002868175506591797, compile_time: 21.4764666557312, run_time: 16.70713782310486, exec_time: 2.99995
write_cfg_time: 0.00028061866760253906, compile_time: 20.194220781326294, run_time: 15.716519355773926, exec_time: 2.75988
write_cfg_time: 0.00022220611572265625, compile_time: 21.674864292144775, run_time: 16.882898092269897, exec_time: 3.02393
write_cfg_time: 0.0005207061767578125, compile_time: 19.66097092628479, run_time: 11.502613544464111, exec_time: 1.94789
write_cfg_time: 0.0003745555877685547, compile_time: 18.965689420700073, run_time: 9.069423913955688, exec_time: 1.50328
write_cfg_time: 0.00025177001953125, compile_time: 19.819859981536865, run_time: 9.031189918518066, exec_time: 1.48316
write_cfg_time: 0.000240325927734375, compile_time: 21.45738649368286, run_time: 15.516616106033325, exec_time: 2.77657
write_cfg_time: 0.0002422332763671875, compile_time: 20.853683471679688, run_time: 15.91753602027893, exec_time: 2.79471
write_cfg_time: 0.00018548965454101562, compile_time: 21.49430537223816, run_time: 15.759499311447144, exec_time: 2.79123
write_cfg_time: 0.00029397010803222656, compile_time: 21.056618213653564, run_time: 11.464160442352295, exec_time: 1.95987
write_cfg_time: 0.0002224445343017578, compile_time: 20.366538763046265, run_time: 15.719386339187622, exec_time: 2.79374
write_cfg_time: 0.0003857612609863281, compile_time: 19.5892813205719, run_time: 11.48360562324524, exec_time: 1.95528
write_cfg_time: 0.0002238750457763672, compile_time: 21.490092992782593, run_time: 28.1893470287323, exec_time: 5.29995
write_cfg_time: 0.0002009868621826172, compile_time: 21.67356514930725, run_time: 15.700522899627686, exec_time: 2.80397
write_cfg_time: 0.00028443336486816406, compile_time: 20.981355667114258, run_time: 15.519672870635986, exec_time: 2.76845
write_cfg_time: 0.00027489662170410156, compile_time: 19.53056287765503, run_time: 11.496551036834717, exec_time: 1.96324
write_cfg_time: 0.00040340423583984375, compile_time: 21.819050073623657, run_time: 11.334402799606323, exec_time: 1.94468
write_cfg_time: 0.00019550323486328125, compile_time: 21.377492427825928, run_time: 16.52541184425354, exec_time: 2.95195
write_cfg_time: 0.00023818016052246094, compile_time: 21.24246621131897, run_time: 15.708989143371582, exec_time: 2.81195
write_cfg_time: 0.00036215782165527344, compile_time: 20.146587133407593, run_time: 16.881284475326538, exec_time: 2.99521
write_cfg_time: 0.0003123283386230469, compile_time: 20.364097833633423, run_time: 11.413031816482544, exec_time: 1.95202
write_cfg_time: 0.00034809112548828125, compile_time: 20.823174476623535, run_time: 15.722901105880737, exec_time: 2.81593
write_cfg_time: 0.0003941059112548828, compile_time: 21.093883991241455, run_time: 37.81371212005615, exec_time: 7.21995
write_cfg_time: 0.0002930164337158203, compile_time: 21.40483808517456, run_time: 11.426479578018188, exec_time: 1.94794
write_cfg_time: 0.00037741661071777344, compile_time: 20.71066927909851, run_time: 15.867563009262085, exec_time: 2.808
write_cfg_time: 0.00020456314086914062, compile_time: 20.303287029266357, run_time: 15.858097314834595, exec_time: 2.82391
write_cfg_time: 0.0003349781036376953, compile_time: 19.9191255569458, run_time: 8.996209859848022, exec_time: 1.48845
write_cfg_time: 0.00022602081298828125, compile_time: 20.249946117401123, run_time: 42.78268218040466, exec_time: 8.18795
write_cfg_time: 0.0002338886260986328, compile_time: 20.083425760269165, run_time: 13.89305329322815, exec_time: 2.43528
write_cfg_time: 0.00022339820861816406, compile_time: 20.882482767105103, run_time: 21.10627841949463, exec_time: 3.87993
write_cfg_time: 0.0002357959747314453, compile_time: 20.956849575042725, run_time: 15.726981401443481, exec_time: 2.79529
write_cfg_time: 0.000286102294921875, compile_time: 20.913203716278076, run_time: 15.657227993011475, exec_time: 2.80326
write_cfg_time: 0.0004436969757080078, compile_time: 19.82124948501587, run_time: 11.43840742111206, exec_time: 1.95665
write_cfg_time: 0.0003044605255126953, compile_time: 21.117955207824707, run_time: 9.097236633300781, exec_time: 1.48863
write_cfg_time: 0.000209808349609375, compile_time: 20.241831302642822, run_time: 15.759092569351196, exec_time: 2.78791
write_cfg_time: 0.00045371055603027344, compile_time: 20.667027473449707, run_time: 9.01060152053833, exec_time: 1.484
write_cfg_time: 0.00026535987854003906, compile_time: 21.103705883026123, run_time: 16.55881357192993, exec_time: 2.97995
write_cfg_time: 0.00038123130798339844, compile_time: 20.151377201080322, run_time: 9.019263982772827, exec_time: 1.4953
write_cfg_time: 0.00022792816162109375, compile_time: 20.432143926620483, run_time: 15.629036664962769, exec_time: 2.80797
write_cfg_time: 0.00044274330139160156, compile_time: 21.613519191741943, run_time: 15.836178064346313, exec_time: 2.82794
write_cfg_time: 0.0003540515899658203, compile_time: 19.891366958618164, run_time: 11.441043615341187, exec_time: 1.97188
write_cfg_time: 0.0002155303955078125, compile_time: 19.948070526123047, run_time: 15.741487741470337, exec_time: 2.80132
write_cfg_time: 0.0003209114074707031, compile_time: 19.86421251296997, run_time: 9.057862758636475, exec_time: 1.48723
write_cfg_time: 0.00028443336486816406, compile_time: 20.739588737487793, run_time: 11.42199182510376, exec_time: 1.96788
write_cfg_time: 0.0001952648162841797, compile_time: 20.587755918502808, run_time: 15.584768533706665, exec_time: 2.78794
write_cfg_time: 0.0004830360412597656, compile_time: 22.14007544517517, run_time: 25.38782238960266, exec_time: 4.71584
write_cfg_time: 0.00018715858459472656, compile_time: 19.265708923339844, run_time: 9.005257368087769, exec_time: 1.48856
write_cfg_time: 0.00023603439331054688, compile_time: 21.280203580856323, run_time: 9.010144710540771, exec_time: 1.48849
write_cfg_time: 0.00021123886108398438, compile_time: 20.629679441452026, run_time: 15.567517757415771, exec_time: 2.75521
write_cfg_time: 0.00027942657470703125, compile_time: 21.349421977996826, run_time: 15.662349700927734, exec_time: 2.78872
write_cfg_time: 0.0004544258117675781, compile_time: 19.53868794441223, run_time: 9.211023569107056, exec_time: 1.49956
write_cfg_time: 0.00032830238342285156, compile_time: 20.75586247444153, run_time: 15.57244873046875, exec_time: 2.79351
write_cfg_time: 0.0002510547637939453, compile_time: 21.091350078582764, run_time: 15.659541845321655, exec_time: 2.80318
write_cfg_time: 0.00021028518676757812, compile_time: 21.2107036113739, run_time: 15.717680931091309, exec_time: 2.77256
write_cfg_time: 0.0006175041198730469, compile_time: 20.58799910545349, run_time: 33.14420771598816, exec_time: 6.29266
write_cfg_time: 0.00018930435180664062, compile_time: 20.525864839553833, run_time: 15.942085981369019, exec_time: 2.81193
write_cfg_time: 0.0002617835998535156, compile_time: 20.1612606048584, run_time: 16.50269627571106, exec_time: 2.98677
write_cfg_time: 0.0003104209899902344, compile_time: 21.785504579544067, run_time: 57.767009019851685, exec_time: 11.1087
write_cfg_time: 0.00022602081298828125, compile_time: 20.438201427459717, run_time: 15.674870014190674, exec_time: 2.76795
write_cfg_time: 0.00034332275390625, compile_time: 20.637023448944092, run_time: 18.982210636138916, exec_time: 3.46485
write_cfg_time: 0.0002932548522949219, compile_time: 22.0136821269989, run_time: 9.081275224685669, exec_time: 1.48074
write_cfg_time: 0.0002830028533935547, compile_time: 19.85898780822754, run_time: 9.016409635543823, exec_time: 1.48395
write_cfg_time: 0.00025343894958496094, compile_time: 20.501760005950928, run_time: 16.012166738510132, exec_time: 2.80792
write_cfg_time: 0.0002498626708984375, compile_time: 20.955865621566772, run_time: 13.8408362865448, exec_time: 2.44795
write_cfg_time: 0.00029158592224121094, compile_time: 20.31386637687683, run_time: 45.51127505302429, exec_time: 8.70395
write_cfg_time: 0.0002865791320800781, compile_time: 21.974071979522705, run_time: 15.601575374603271, exec_time: 2.79194
write_cfg_time: 0.0001976490020751953, compile_time: 21.538856983184814, run_time: 15.766128063201904, exec_time: 2.80493
write_cfg_time: 0.00031304359436035156, compile_time: 21.344586849212646, run_time: 27.91593313217163, exec_time: 5.17195
write_cfg_time: 0.0001919269561767578, compile_time: 20.975464344024658, run_time: 9.050485372543335, exec_time: 1.48389
write_cfg_time: 0.000286102294921875, compile_time: 20.86841869354248, run_time: 14.042424440383911, exec_time: 2.46798
write_cfg_time: 0.00019168853759765625, compile_time: 20.413273334503174, run_time: 15.59250521659851, exec_time: 2.78794
write_cfg_time: 0.00045228004455566406, compile_time: 20.805559873580933, run_time: 15.755944013595581, exec_time: 2.79515
write_cfg_time: 0.00029969215393066406, compile_time: 21.91524600982666, run_time: 8.972968101501465, exec_time: 1.48395
write_cfg_time: 0.0003376007080078125, compile_time: 19.75915265083313, run_time: 8.996479988098145, exec_time: 1.4632
write_cfg_time: 0.00023174285888671875, compile_time: 19.879440784454346, run_time: 36.08713483810425, exec_time: 6.81602
write_cfg_time: 0.0003299713134765625, compile_time: 20.724143266677856, run_time: 9.080110311508179, exec_time: 1.49195
write_cfg_time: 0.0002562999725341797, compile_time: 19.472875833511353, run_time: 28.416479110717773, exec_time: 5.29587
write_cfg_time: 0.0004260540008544922, compile_time: 19.8624267578125, run_time: 37.86782264709473, exec_time: 7.22101
write_cfg_time: 0.0001900196075439453, compile_time: 18.75509214401245, run_time: 11.55428433418274, exec_time: 1.99194
write_cfg_time: 0.0003001689910888672, compile_time: 19.496623039245605, run_time: 9.166045188903809, exec_time: 1.49254
write_cfg_time: 0.0002620220184326172, compile_time: 20.20405888557434, run_time: 16.63066601753235, exec_time: 2.99196
write_cfg_time: 0.00021195411682128906, compile_time: 21.08419108390808, run_time: 55.263572692871094, exec_time: 10.6079
write_cfg_time: 0.0037326812744140625, compile_time: 20.630698680877686, run_time: 15.735663890838623, exec_time: 2.81226
write_cfg_time: 0.00030612945556640625, compile_time: 21.24846649169922, run_time: 11.538621664047241, exec_time: 1.96394
write_cfg_time: 0.000194549560546875, compile_time: 20.092939376831055, run_time: 9.093393564224243, exec_time: 1.48395
write_cfg_time: 0.0003514289855957031, compile_time: 19.250885009765625, run_time: 11.28323245048523, exec_time: 1.91994
write_cfg_time: 0.000278472900390625, compile_time: 21.106256008148193, run_time: 9.428033828735352, exec_time: 1.49258
write_cfg_time: 0.00023436546325683594, compile_time: 19.791693449020386, run_time: 11.393362522125244, exec_time: 1.9727
write_cfg_time: 0.0002117156982421875, compile_time: 20.627126455307007, run_time: 11.379663944244385, exec_time: 1.95994
