dblp-cite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.9875617027282715, 0.006493
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.4235284328460693, 0.00968
douban ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.8478469848632812, 0.0001
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.0119836330413818, 0.010812
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.164626121520996, 0.015062
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.6460611820220947, 0.000296
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.7789628505706787, 0.000541
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.4001061916351318, 0.009671
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.0340278148651123, 0.010669
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.156966209411621, 0.026933
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.1032688617706299, 0.01319
sx-stackoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 3.04913330078125, 0.159103
dblp-cite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.0069661140441895, 0.018947
dbpedia-team ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.8914933204650879, 0.001423
dimacs9-E ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 4.008240222930908, 0.255516
douban ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.6684691905975342, 0.001759
facebook-wosn-wall ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.4510762691497803, 7.7e-05
github ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.6699244976043701, 0.003371
komarix-imdb ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.7107036113739014, 0.003121
moreno_blogs ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.6309738159179688, 0.000591
opsahl-usairport ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.6733288764953613, 0.000774
patentcite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.2820184230804443, 0.00602
petster-friendships-dog ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.1251158714294434, 8.3e-05
roadNet-CA ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.2043569087982178, 0.009455
subelj_cora ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.7900402545928955, 0.012865
sx-mathoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.9566476345062256, 0.005999
youtube-groupmemberships ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.104353904724121, 0.002975
sx-stackoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 2.8980937004089355, 0.138082
dblp-cite ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.764716386795044, 0.001921
dbpedia-team ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.7649245262145996, 0.000109
dimacs9-E ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 2.043034791946411, 0.064478
douban ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8765037059783936, 0.001487
facebook-wosn-wall ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.7763199806213379, 0.010745
github ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.9669067859649658, 0.002934
komarix-imdb ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.0913448333740234, 0.022771
moreno_blogs ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.6668336391448975, 0.000506
opsahl-usairport ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.7468996047973633, 0.000655
patentcite ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.3712232112884521, 0.007027
petster-friendships-dog ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.0286026000976562, 8.2e-05
roadNet-CA ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8232700824737549, 0.000404
subelj_cora ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.7213077545166016, 0.001072
sx-mathoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.9643161296844482, 0.021437
youtube-groupmemberships ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.0592873096466064, 0.008796
sx-stackoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 3.5649943351745605, 0.004054
dblp-cite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.559467077255249, 0.00102
dbpedia-team DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.4795496463775635, 0.023438
dimacs9-E DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 79.63575220108032, 0.32726
douban DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.7509326934814453, 0.000951
facebook-wosn-wall DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.9633033275604248, 0.000113
github DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.8439722061157227, 0.001137
komarix-imdb DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.6206409931182861, 0.0009
moreno_blogs DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.5248527526855469, 0.000496
opsahl-usairport DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.617950439453125, 0.000603
patentcite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.186086654663086, 0.000201
petster-friendships-dog DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.586378574371338, 0.02202
roadNet-CA DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.894792079925537, 0.001742
subelj_cora DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 3.6173582077026367, 0.002233
sx-mathoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.9803414344787598, 0.019849
youtube-groupmemberships DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 3.9545607566833496, 0.001884
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.9932749271392822, 0.001455
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.428680419921875, 0.009857
douban ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8820500373840332, 0.0001
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8282804489135742, 0.001695
