sx-stackoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 13.565373182296753, 0.066603
dblp-cite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.417341709136963, 0.000401
dbpedia-team DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.4467997550964355, 0.037981
dimacs9-E DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.7245218753814697, 0.100094
douban DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.0389742851257324, 0.000387
facebook-wosn-wall DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.5490436553955078, 0.00041
github DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.0313153266906738, 0.000408
komarix-imdb DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.663097858428955, 0.029952
moreno_blogs DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.587451696395874, 0.026179
opsahl-usairport DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.9983987808227539, 0.00032
patentcite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 5.650915622711182, 0.049294
petster-friendships-dog DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.0433413982391357, 0.003686
roadNet-CA DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.4554219245910645, 0.04234
subelj_cora DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.6048448085784912, 0.031937
sx-mathoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.489917516708374, 0.038677
youtube-groupmemberships DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.579077959060669, 0.032701
sx-stackoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.540189266204834, 0.011175
dblp-cite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.92330002784729, 0.000437
dbpedia-team DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.571373462677002, 0.000711
dimacs9-E DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.8953676223754883, 0.124178
douban DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.6002566814422607, 0.04608
facebook-wosn-wall DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.6561295986175537, 0.000515
github DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.683222770690918, 0.044156
komarix-imdb DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.3075752258300781, 0.000666
moreno_blogs DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.365849256515503, 0.015086
opsahl-usairport DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.4445173740386963, 0.037823
patentcite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.079704999923706, 0.004725
petster-friendships-dog DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.8363511562347412, 0.000942
roadNet-CA DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.41605806350708, 0.003198
subelj_cora DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.335451602935791, 0.00046
sx-mathoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.3107109069824219, 0.000451
youtube-groupmemberships DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.9030835628509521, 0.000376
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.6548137664794922, 0.00392
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4003746509552002, 0.000381
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.555335283279419, 0.00051
dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.2274937629699707, 0.008524
douban DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.27335071563720703, 0.000223
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4888782501220703, 0.000375
github DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7477953433990479, 0.000227
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8132266998291016, 0.000391
moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.43655920028686523, 0.000258
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5806944370269775, 0.000249
patentcite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.5700852870941162, 0.007641
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7820289134979248, 0.000859
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9620664119720459, 0.001747
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2744174003601074, 0.000288
sx-mathoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6403670310974121, 0.000291
youtube-groupmemberships DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6366217136383057, 0.000209
sx-stackoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.977935791015625, 0.005209
