sx-stackoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 4.083982467651367, 0.080433
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.7350630760192871, 0.000382
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.4784355163574219, 0.00312
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.6535143852233887, 0.008531
douban ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.3517892360687256, 0.000555
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.491137742996216, 0.11712
github ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.7461841106414795, 0.077015
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.8830602169036865, 0.062025
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.581878900527954, 0.037597
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.5781958103179932, 0.000432
patentcite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.9481046199798584, 0.046565
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.1221067905426025, 0.05755
roadNet-CA ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.5760185718536377, 0.005468
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.8777573108673096, 0.055834
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.2560644149780273, 0.000569
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.8379790782928467, 0.000846
sx-stackoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 4.616197109222412, 0.314251
dblp-cite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.359300136566162, 0.000719
dbpedia-team ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.1383817195892334, 0.002991
dimacs9-E ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.1801395416259766, 0.008084
douban ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.7664663791656494, 0.079912
facebook-wosn-wall ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.8527975082397461, 0.000481
github ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.5319745540618896, 0.036192
komarix-imdb ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.8683733940124512, 0.066921
moreno_blogs ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.80959153175354, 0.000354
opsahl-usairport ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.4709947109222412, 0.000399
patentcite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 4.206036329269409, 0.199477
petster-friendships-dog ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.9652433395385742, 0.023437
roadNet-CA ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.9552292823791504, 0.088689
subelj_cora ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.7467243671417236, 0.070658
sx-mathoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.924079179763794, 0.076618
youtube-groupmemberships ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.6192595958709717, 0.001915
sx-stackoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 6.83466911315918, 0.514974
dblp-cite ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.970914363861084, 0.045853
dbpedia-team ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.711451768875122, 0.079245
dimacs9-E ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.936575174331665, 0.047007
douban ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.3573219776153564, 0.027467
facebook-wosn-wall ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.5045013427734375, 0.000788
github ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.9475746154785156, 0.084261
komarix-imdb ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.904900312423706, 0.078566
moreno_blogs ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.260883092880249, 0.000941
opsahl-usairport ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.660454273223877, 0.003298
patentcite ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 3.88525390625, 0.212945
petster-friendships-dog ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 2.1271023750305176, 0.063511
roadNet-CA ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.5243797302246094, 0.003756
subelj_cora ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.3491640090942383, 0.000593
sx-mathoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.520794153213501, 0.049812
youtube-groupmemberships ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.4921722412109375, 0.045329
sx-stackoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 12.34571623802185, 0.131871
dblp-cite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.7838020324707031, 0.043174
dbpedia-team DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.1927101612091064, 0.101608
dimacs9-E DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.49458909034729, 0.055257
douban DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.6673555374145508, 0.009335
facebook-wosn-wall DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.563091516494751, 0.047472
github DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.6010615825653076, 0.002905
