dblp-cite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.9553582668304443, 0.00362
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.8845846652984619, 0.000104
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.6978251934051514, 0.011849
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.9465227127075195, 0.011604
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.9703011512756348, 0.011324
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.7070126533508301, 0.000542
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.4136123657226562, 8.2e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.5226471424102783, 0.000409
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.9542315006256104, 0.028064
sx-stackoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 2.8459413051605225, 0.11345
dblp-cite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.9073269367218018, 0.002335
dbpedia-team ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.9893279075622559, 0.009778
dimacs9-E ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 3.5969653129577637, 0.230883
douban ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.6970484256744385, 0.001713
facebook-wosn-wall ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.7836766242980957, 0.01336
github ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.0190742015838623, 0.024302
komarix-imdb ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.0785832405090332, 0.015613
moreno_blogs ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.6875574588775635, 0.001392
opsahl-usairport ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.9304821491241455, 0.005836
patentcite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.586960792541504, 0.013074
petster-friendships-dog ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.2052490711212158, 0.000123
roadNet-CA ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.149052381515503, 0.013394
subelj_cora ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.0456275939941406, 0.020505
sx-mathoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.8795249462127686, 0.002989
youtube-groupmemberships ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.110539197921753, 0.014069
sx-stackoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 3.47489070892334, 0.116625
dblp-cite ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8833432197570801, 0.00278
dbpedia-team ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8883981704711914, 0.006544
dimacs9-E ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 2.7183239459991455, 0.142508
douban ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8309440612792969, 0.011908
facebook-wosn-wall ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.1067047119140625, 0.01199
github ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.898123025894165, 0.002991
komarix-imdb ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.2443287372589111, 0.004363
moreno_blogs ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.5516054630279541, 0.00052
opsahl-usairport ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8228819370269775, 0.000672
patentcite ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.484334945678711, 0.001026
petster-friendships-dog ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.0009348392486572, 8.5e-05
roadNet-CA ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.0155820846557617, 0.00037
subelj_cora ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.7299668788909912, 0.001043
sx-mathoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8583574295043945, 0.026517
youtube-groupmemberships ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.8296878337860107, 0.007029
sx-stackoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 14.500692129135132, 0.15562
dblp-cite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.3860251903533936, 0.000996
dbpedia-team DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.4276525974273682, 0.000966
dimacs9-E DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 263.6630160808563, 14.3471
douban DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.7049684524536133, 0.00111
facebook-wosn-wall DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.9998514652252197, 0.008687
github DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.6926541328430176, 0.167913
komarix-imdb DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.111055374145508, 0.001576
moreno_blogs DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.981748104095459, 0.00057
opsahl-usairport DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.7104740142822266, 0.000863
patentcite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 7.695327043533325, 0.01916
petster-friendships-dog DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.108510732650757, 0.015254
roadNet-CA DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 5.450528621673584, 0.146885
subelj_cora DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.5952694416046143, 0.002813
sx-mathoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.4242031574249268, 0.000583
youtube-groupmemberships DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.3863136768341064, 0.001974
sx-stackoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 3.4849233627319336, 0.119391
dblp-cite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.120272397994995, 0.001134
dbpedia-team DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.1778085231781006, 0.000307
dimacs9-E DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 95.24132776260376, 0.332297
douban DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.5547885894775391, 0.000978
facebook-wosn-wall DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.552750825881958, 0.000111
github DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.221856117248535, 0.001261
komarix-imdb DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.282743215560913, 0.001037
moreno_blogs DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.9349608421325684, 0.000544
opsahl-usairport DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.0374376773834229, 0.000659
patentcite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.7263715267181396, 0.000253
petster-friendships-dog DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.307307243347168, 0.000161
roadNet-CA DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.120842933654785, 0.001953
subelj_cora DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.9383459091186523, 0.002618
sx-mathoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 0.7112085819244385, 0.000565
youtube-groupmemberships DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.4942774772644043, 0.001448
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8890392780303955, 0.001873
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.9085800647735596, 0.004854
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6172924041748047, 0.000812
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.992462158203125, 8.9e-05
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5657682418823242, 0.000301
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8444643020629883, 0.000547
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.700244426727295, 8.3e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6919810771942139, 0.000427
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8196489810943604, 0.018115
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 3.3654086589813232, 0.00393
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.1326186656951904, 0.000132
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8862624168395996, 0.01232
dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.208242893218994, 0.028117
douban DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.0410215854644775, 0.000193
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.63275146484375, 0.000213
github DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.3269295692443848, 0.030348
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.781022310256958, 0.000372
